timestamp,agent_id,brief_id,iteration,linalg/qr_v2,status,commit,description
2026-06-25T12:12:22.976802,0,,N/A,116914.758,baseline,40fd0e26d491111cc7c48a777a5fc0a6c2e07d47,baseline
2026-06-25T12:24:31.185129,0,0,N/A,N/A,brief_start,N/A,"Attack the launch-overhead-bound small-n shapes (n=32,176,352): replace torch.geqrf with a single fused Triton kernel doing unblocked Householder QR, one program per matrix, eliminating cuSOLVER's thousands of tiny launches + D2H copies. n<=176 fits whole-matrix in SMEM (176^2*4=124KB); n=352 (496KB) exceeds SMEM so panel-stream columns through SMEM/registers. Per column: norm, reflector v (LAPACK convention: alpha=-sign(a_kk)||x||, v[k]=1 implicit, tau in [0,2]; zero/tiny norm => tau=0,v=e_k for rank-deficient/collinear), rank-1 trailing update on-chip. Write H (R on/above diag, v below) + FP32 tau matching geqrf shapes. Householder is backward-stable so all conditioning cases pass; correctness hinges on the exact sign/zero-column convention. Route n>=512 and every off-grid n to torch.geqrf. Avoid the literal substring 'stream' anywhere in source."
2026-06-25T12:31:52.984001,0,0,0,93761.134,succeeded,ff6616697d8d33cd0cf7d4d3b586aa60a2b05302,"Fused Triton unblocked Householder QR for n=32 (one program/matrix, whole 32x32 tile register-resident; per-column norm/reflector/tau LAPACK convention, rank-1 trailing update on-chip; compact (H,tau) out). n=176/352/512+ and all off-grid n route to torch.geqrf. Validate PASS incl off-grid guard. Shape0 n=32: 20.5us. Geomean 116914.758 -> 93761.134 us (-19.8%)."
2026-06-25T12:54:29.935928,0,0,1,57009.202,succeeded,fee5e2c1d447abd68d02b8e2d389264457cffd97,"Extend fused Triton QR to n=176 (panel=16) and n=352 (panel=32) via blocked compact-WY: one-program-per-matrix Triton panel-factor kernel (sequential Householder, emits reflectors + PANEL^2 T factor) + batched cuBLAS bmm trailing update A:=A-V T^T(V^T A). Panels divide n (no partials), tau stores masked to k<n, tl.dot ieee precision. Per-shape: n=32 20.6us, n=176 906us (was ~15668), n=352 1722us (was ~38581). Validate PASS incl off-grid guard. Geomean 116914.758 -> 57009.202 us (-51.2%, 2.05x). Profile: _panel_factor_kernel is 52.6% of n=352 GPU time (the optimization target); trailing GEMMs + FP64 checker the rest."
2026-06-25T12:59:54.817366,0,0,2,55814.424,succeeded,98b66f8636eaceec31b37c6d76f55b0c3839fd6c,Tune blocked panel width to 32 for n=176 (partial-panel path correct after tau-store mask). Sweep: P=32 is runtime min for n=176 (697us vs 906 at P=16) and n=352 (1722us; P=64 OOM SMEM). n=176 906->697us. Validate PASS incl off-grid guard. Geomean 57009.202 -> 55814.424 us (-52.3% vs baseline).
2026-06-25T13:17:06.118267,0,0,3,55827.922,succeeded,fd0273790fb40332852b91b04e6db04ebb9e5100,"Parameterize blocked-kernel num_warps per size (plumbing _BLOCKED_WARPS); both sizes use 8 (harness-benchmark optimum; isolation sweep favoring 4 for n=176 did not transfer). Numerically identical to panel=32/nw=8. Validate PASS incl off-grid guard. Per-shape n=32 20.6us, n=176 702us, n=352 1722us. Geomean 55827.922 us (-52.3% vs baseline). Profile n=176: _panel_factor_kernel 24.3%, rest cuBLAS trailing GEMMs + FP64 checker."
2026-06-25T13:17:47.703871,0,0,N/A,N/A,brief_stop,N/A,"Brief fully realized: all three small-n shapes (n=32,176,352) now use fused Triton kernels, geomean 116914.758 -> 55827.922 us (-52.3%, 2.10x), best commit fd0273790fb40332852b91b04e6db04ebb9e5100. n=32: whole-matrix register-resident unblocked Householder, one program/matrix (20.6us, ~14x vs geqrf). n=176,352: blocked compact-WY -- a one-program-per-matrix Triton panel-factor kernel (sequential Householder, emits reflectors + PANEL^2 T factor) feeding a batched cuBLAS bmm trailing update A:=A-V T^T(V^T A) (library over hand-written GEMM); n=176 702us (~22x), n=352 1722us (~22x). All iterations validated incl the off-grid guard (n>=512 and ALL off-grid n route to torch.geqrf). Keys that worked: tl.dot input_precision='ieee' (TF32 blew the factor-residual tolerance), masking the tau store to k<n (phantom partial-panel columns were writing OOB into the next matrix's tau -> the residual-173 bug), PANEL=32 power-of-two for both. What didn't: moving the compact-WY T-build out to torch made it 10x slower (per-column bmm launches); whole-matrix register tile spills for n>=176; isolation timing is unreliable (n=176 nw=4 looked best but measured 809 vs 702us at nw=8 in the harness). Suggested next briefs: (1) PANEL=64 for n=352 is blocked by the 512x64=128KB panel-tile SMEM wall (>99KB Triton limit) -- a row-tiled block-Householder panel kernel (cross-tile norm reduction) would lift it and cut the 11 sequential panel launches in half; the panel kernel is 52.6% of n=352 GPU time. (2) bf16/tensor-core tl.dot in the panel's trailing-within-panel update for more throughput, if accuracy holds. (3) Larger batch-level parallelism by processing multiple matrices per CTA for the tiny n=32 path."
2026-06-25T13:35:10.535619,0,1,N/A,N/A,brief_start,N/A,"Branch off the GLOBAL BEST (d381eef6, worker1's Triton blocked compact-WY, 11314us) and extend it to the n=1024 batch=60 shapes, now the dominant geomean term (~90827us x3). PROFILE n=1024 FIRST to split panel-kernel vs trailing-GEMM time. Expect the one-CTA-per-matrix panel factorization to starve the GPU at b=60 (~60 CTAs vs ~188 SMs), so the PRIMARY lever is multi-CTA-per-matrix (or 2-level/recursive blocking) on the panel kernel to cover the SMs; SECONDARY: widen panels to amortize the ~32 serial panel launches. Keep the trailing GEMM FP32 with TF32 OFF (Blackwell FP32 already uses tensor cores) - bf16 only as a gated experiment that MUST clear orthogonality on nearrank/mixed n=1024 with margin (rtol=100*n*eps32, no atol). Do NOT reduce CTA count (multiple matrices per CTA is the wrong direction here). Keep LAPACK (H,tau), route off-grid n to torch.geqrf, no 'stream' substring."
2026-06-25T13:49:55.649283,0,1,0,7225.951,succeeded,3ecffde9c6e5f5ada5bd4eb6bfaaeef509045105,"Regime-dependent panel width nb=16 for n=1024 (keep 32 for n<=512). Profiled parent n=1024: _panel_factor_kernel is ~all timed cost; nb sweep shows panel cost scales super-linearly with nb (resident [M,next_pow2(nb)] tile + per-column serial work; [1024,64] spills). nb=16 ~6x faster at n=1024. Per-shape n=1024 90838->15199us. Geomean 11314.104 -> 7225.951 us. Validate PASS, guards CLEAN. NOTE: Triton 3.6 has no cooperative-grid/grid-barrier, so multi-CTA M-split (per-column cross-CTA reduction) isn't cleanly expressible; the (H,tau) output contract also blocks TSQR (its Q isn't a flat reflector product). So the real lever is cheaper per-CTA panel work + 2-level blocking, explored next."
2026-06-25T14:08:22.761850,0,1,1,7192.514,succeeded,adf5978aef19aae68c07be55025aef615ea6e9e4,"Two-level blocked QR for n=1024 (ib=16 inner panel, nbo=128 outer WY). Clean profiler split of nb=16 timed work: trailing-update GEMMs ~19000us dominate (magma_sgemmEx+cutlass SIMT, skinny K=16 non-tensor-core), panel kernel only ~3850us; C is read/written once per panel => nb=16 does 64 HBM passes over the trailing matrix. 2-level cuts far-trailing passes to 8 (fat K=128). TF32 explicit OFF. n=1024 15199->14888us/shape. Geomean 7225.951 -> 7192.514 us. Validate PASS, guards CLEAN. Only 2% (in-block updates keep skinny K=16); next: fused Triton trailing-update kernel (read C once, keep VtC/TtVtC on-chip) to halve HBM traffic -- the proven bottleneck."
