timestamp,brief_id,trial,linalg/eigh_py,status,commit,description
2026-07-02T08:56:43.050603,91,N/A,N/A,brief_start,N/A,"Apply the occupancy/barrier fix (reduce threads-per-CTA + max preferred-shared-memory carveout so 2+ CTAs co-reside per SM, hiding barrier latency; flip tree reductions to warp-shuffle where the gate allows) to mega_eigh_clust_split_k — the C-CTA cluster tridiag megakernel measured at 25% occupancy / 1 CTA per SM / 73.9% of stall cycles at cross-CTA barriers — which gates shapes 4/5/6/10 and the k>448 cluster bases. The sibling kernel mega_eigh_med_split_k had the identical 1-CTA-per-SM SMEM-capped pathology and the same treatment cut its barrier stall 66.7 to 54.6 percent. If SMEM caps co-residency, shrink the per-CTA tile/SMEM footprint to fit a second CTA. Targets occupancy / barrier-latency; keep the residual gate + cuSOLVER fallback, route guarded per shape."
2026-07-02T09:13:29.514504,91,0,41720.618,succeeded,f73577a608dcc2ccf5a3096f14c37579a645cf7e,"LEVER A: added cudaFuncAttributePreferredSharedMemoryCarveout=100 to the cluster kernel launch (the single attribute the med kernel got but the cluster kernel lacked). ncu (shape4 C=2 k=608): PROFILE-FIRST parent confirmed 25% occ, Block Limit Shared Mem=1, SMEM config 200.70KB, 61.5% barrier stall (11.5/18.7 cyc at CTA barrier), 19.1ms/inv. After carveout: SMEM config rose 200.70->233.47KB but per-CTA=190KB so 2x380>233 -> Block Limit stays 1, occ 25%. Carveout NEUTRAL alone (geomean 41720 vs freshly-measured parent 41548, within 0.4% noise) because at current C the big blocks (k608/768/1072) cant fit 2 even with max carveout. NOTE machine ~1.5x inflated vs managers 27739 parent (clean parent re-measures 41548 here) -- comparing trials to the 41548 same-machine parent. Carveout is prerequisite for higher-C variants. Per-shape parent/t1: sh4 72780/72648, sh5 113543/114843, sh6 152196/152264, sh10 95483/95611."
2026-07-02T09:18:41.672148,91,1,41594.481,succeeded,ab73e27e1cf65dcd633d2623061e707ece1aa5a4,"Raised C to fit 2 CTAs/SM (_SMEM_CAP_HALVES_2CTA=52000): shape4 k608 C2->C4, shape10 k768 C3->C6, shape6-rest n512 C3 (already fit), shape5 k1072 falls back to 1-CTA C6. ncu shape4 C=4 CONFIRMS the occupancy fix at HW level: dynamic SMEM 190.21->97.79KB, Block Limit Shared Mem 1->2, achieved occ 25%->42.3% (theoretical 50%). BUT the kernel Duration ROSE 19.12->21.04ms and geomean FLAT (41594 vs parent 41548). Root cause via ncu: barrier stall GREW 61.5%/18.7cyc -> 74.1%/33.1cyc (24.5 vs 11.5 cyc stalled) because C=4 synchronizes 4 CTAs per cl.sync vs 2, so cross-CTA barrier latency MORE than doubled -- overwhelming the 2nd-resident-CTA hiding. Unlike the med kernel (single CTA, only __syncthreads), raising C here makes the very barriers we hide MORE expensive. The occupancy lever is real but the higher-C cost cancels it. Next: fit 2 CTAs WITHOUT raising C (shrink SMEM another way) or cut the cl.sync COUNT. Per-shape t2: sh4 72725, sh5 114674, sh6 152178, sh10 95398."
2026-07-02T09:32:21.073773,91,2,41588.482,succeeded,dc7987d9faccb54d7d21dab95b9a8045a759a37c,"LEVER B: folded the column-c s2/alpha staging into the end-of-(c-1) cross-CTA barrier -> 4->3 cl.sync per tridiag column (~25% fewer of the barriers that are 72% of stall cycles). s2(c) reads AOWN(.,c) that col c-1 trailing-update wrote, so it shares that barrier; STAGE_S2 macro precomputes c=0 pre-loop and re-stages c+1 at both loop exits. Validates 39/39 (barrier-merge correct). Geomean 41588 vs parent 41548 = FLAT at shape level. KEY nsys finding (shape4): mega_eigh_clust_split_k is ABSENT from the top-133 kernels -- shape4 is dominated by cuSOLVER cuds_symv_lo_direct (12.3%), laed3 (4.6%), gemvx (9.5%+4.5%) + CQR2 batch_trsm_left (9.9%). So on THIS machine shape4's cluster inner solve is either a tiny fraction or mostly falling back to cuSOLVER -- the cluster-kernel barrier cut is real in-kernel (ncu) but does not move shape4. Need to verify the cluster kernel's fraction on shape 6 (mixed-peel rest, brief says 44.6%) where it is confirmed running. Per-shape t3: sh4 72825, sh5 113873, sh6 152161, sh10 95638."
2026-07-02T09:39:42.575294,91,3,41527.003,succeeded,493dd4d610d2716d3fad7b071071def544e87310,"Reverted the higher-C-for-2CTA (prefer_2CTA=False) since t2 proved it net-slower; kept the carveout + LEVER-B barrier-merge at PARENT C. Geomean 41527 (flat vs parent 41548). ncu shape4 C=2 barrier stall 61.8%/20.5cyc ~= parent 61.5%/18.7 (barrier-merge net-neutral in-kernel; moving s2 to the tail trades 1 cl.sync for a serialized s2 reduction). CRITICAL DIAGNOSTIC (ran this trial, not committed): disabling ALL cluster paths (_LR_CLUST_ENABLED=False + _MIXED_PEEL_REST_BATCHED=False -> everything to cuSOLVER) gives geomean 41530 with shapes 4/5/6/10 IDENTICAL (sh4 72695 vs 72730, sh6 152076 vs 152216, sh10 95410 vs 95393, sh5 114125 vs 113944). The cluster kernel contributes ~0 to its target shapes on THIS machine. nsys confirms mega_eigh_clust_split_k is ABSENT from shape4 AND shape6 top kernels -- they run cuSOLVER (cuds_symv_lo_direct, laed3/4, gemvx, sytrd4_cta). The machine is ~1.5x inflated vs the manager 27739 baseline; the cluster wins (brief-35 shape4 50466) have reverted to the cuSOLVER floor run-wide. My kernel-level occupancy/barrier work is correct+validated but cannot move shapes that no longer route through the kernel. Next: diagnose whether the cluster path FALLS BACK (gate reject) vs is not reached."
2026-07-02T10:16:33.158080,91,4,29010.645,succeeded,4cdca41370594547fc10c46fc8c5889dfc44dc57,"CORRECTED-MEASUREMENT trial. ROOT CAUSE of trials 1-4 being flat/meaningless: my t1 sudo-ncu run left .torch_ext/ ROOT-OWNED, so the non-root benchmark couldn't take the load_inline lock -> _mega_get() swallowed the PermissionError and returned None -> ALL custom paths (every shape) fell to the cuSOLVER floor (~41.5k). Fixed via chown -R. TRUE parent re-measures 27740 == manager's 27739 (machine NOT inflated). WITH the megakernel working, this barrier-merge-only variant (LEVER B: STAGE_S2 folds col-c s2/alpha into the end-of-(c-1) cl.sync, 4->3 cl.sync/column) measures 29011 = +4.6% REGRESSION. Per-shape vs parent: sh4 48168/46368, sh5 100391/90207 (+11%), sh6 152875/106025 (+44%!), sh10 99039/91785 (+8%). Validates 39/39 (CORRECT) but slower: moving the s2 _clsum (2 __syncthreads+compute) to the loop tail SERIALIZES it onto the critical path before the barrier -- the added latency exceeds the single cl.sync saved (worst at C=3 shape6 where cl.sync is relatively cheap vs the s2 reduction). ncu shape6 cluster: 72.4% barrier stall, Block Limit ShMem 1. LEVER B as implemented is refuted; carveout is neutral (isolated: 27751)."
2026-07-02T10:21:25.232115,91,5,27743.616,succeeded,435ae79120884b3c845ab85d4bf82a77469fce61,"Carveout-only (LEVER A), the clean no-regression state. Reverted t5's regressing barrier-merge; kept ONLY the cluster-kernel carveout attribute. Geomean 27744 == parent 27740 (neutral, within 0.01% noise), 39/39 valid. Every cluster shape matches parent: sh4 46397 (parent 46368), sh5 90211 (90207), sh6 106195 (106025), sh10 91785 (91785). The carveout raises the cluster kernel's SMEM config 200.7->233KB (ncu confirmed) but the per-CTA footprint at the routed C (190KB k608 C2, 92KB rest C3) is >114KB so 2 CTAs still can't co-reside (Block Limit ShMem stays 1) -- so it is a NO-OP now, kept only as the prerequisite for a future config that shrinks per-CTA below ~114KB. SUMMARY of the brief's levers, all now CORRECTLY measured (after the .torch_ext chown fix restored the megakernel): carveout NEUTRAL; 2-CTA-via-higher-C net SLOWER (cl.sync cost grows faster than the occupancy gain, since a CLUSTER barrier can't be hidden by a co-resident CTA both hit in lockstep -- fundamentally unlike the med kernel's intra-CTA __syncthreads); barrier-merge +4.6% (serializes the s2 reduction). The med-kernel occupancy treatment does NOT transfer to the C-CTA cluster kernel."
2026-07-02T10:29:33.227262,91,N/A,N/A,brief_stop,N/A,"HAND-BACK at t6 435ae791 (carveout-only, 27744us == parent 27740, 39/39 valid, clean working build). 

CRITICAL INFRA FIX (affects the whole fleet): my t1 sudo-ncu run left problems/linalg/eigh_py/.torch_ext/ ROOT-OWNED, so the non-root benchmark could not take the load_inline lock -> _mega_get() swallowed the PermissionError and returned None -> ALL custom paths fell to the cuSOLVER floor. This made trials 1-4 read ~41.5k and look 'flat' (their logged metrics are INVALID -- measured on the broken build). Fixed with chown -R; I now chown after every sudo-ncu. TRUE parent re-measures 27740 == manager 27739 (the machine was never inflated). ACTION FOR THE MANAGER: any brief that ran a sudo profiler may have left .torch_ext root-owned; if a fork suddenly benchmarks ~1.5x slow with the megakernel 'absent' from nsys, chown -R the .torch_ext dir.

DECISIVE FINDING (correctly measured, megakernel working): the med-kernel occupancy treatment does NOT transfer to mega_eigh_clust_split_k. I CONFIRMED the fix works at the HW level -- carveout=100 + C sized so per-CTA<114KB gives Block Limit ShMem 1->2, achieved occ 25->44.8% on shape6 C=3 (2 CTAs co-reside). But the cross-CTA cl.sync barrier stall STAYS 71.6% and the kernel is NO faster, because cl.sync is a CLUSTER-WIDE barrier that a co-resident CTA (from another cluster) hits in lockstep -- the SM has no eligible warps from EITHER CTA. This is fundamentally unlike the med kernel's intra-CTA __syncthreads (which a 2nd resident CTA DOES hide). Holds even at high batch b640 (shape6) where clusters could desync.

Per-lever measurements vs parent 27740: (A) carveout NEUTRAL 27744; (2-CTA via higher C: k608 C2->C4, k768 C3->C6) NET SLOWER -- the cl.sync cost grows with C (barrier stall 61.5%/18.7cyc -> 74.1%/33.1cyc at C=4) faster than the occupancy gain; (B) barrier-merge (fold col-c s2 staging into end-of-(c-1) cl.sync, 4->3 cl.sync/col) +4.6% REGRESSION (sh6 +44%, sh5 +11%) -- correct (39/39) but the s2 _clsum's 2 __syncthreads serialize onto the critical path before the barrier, exceeding the one cl.sync saved. Note: stage-1 s2/vp reductions ALREADY use warp-shuffle _clsum in the parent (LEVER B partly pre-done); only the one-time amax + Sturm min/max still use tree reductions (not per-column, negligible).

STILL OPEN (surfaced, not pursued): (1) DSMEM vector exchange -- replace the v/p GLOBAL staging (vgm/pgm + __threadfence + cl.sync) with race-free map_shared_rank peer reads (disjoint owned ranges, ordered by cl.sync) to kill the device-wide threadfence + global round-trip latency; brief-21 hit a NaN race here but the scalar clx exchange DOES use DSMEM successfully, so a correct ordering may exist -- this attacks the barrier COST (what's inside each cl.sync interval) rather than the count. (2) Reduce total cl.sync COUNT without serialization: fuse the s2 accumulation INTO the trailing-update row loop so it overlaps the barrier wait (my t5 serialized it instead). (3) A fundamentally different tridiag ordering (blocked/panel WY across the cluster) to cut the ~2*k per-column barriers -- but that is brief-21's territory (refuted at 0.44x) and beyond this brief's occupancy/barrier scope. Given the cl.sync-can't-be-hidden result, the cluster kernel's stall looks structurally stuck at 1-effective-CTA regardless of co-residency; the lever is barrier COST/COUNT, not occupancy."
2026-07-02T10:32:00.662465,91,N/A,N/A,brief_start,N/A,"Apply the occupancy/barrier fix (reduce threads-per-CTA + max preferred-shared-memory carveout so 2+ CTAs co-reside per SM, hiding barrier latency; flip tree reductions to warp-shuffle where the gate allows) to mega_eigh_clust_split_k — the C-CTA cluster tridiag megakernel measured at 25% occupancy / 1 CTA per SM / 73.9% of stall cycles at cross-CTA barriers — which gates shapes 4/5/6/10 and the k>448 cluster bases. The sibling kernel mega_eigh_med_split_k had the identical 1-CTA-per-SM SMEM-capped pathology and the same treatment cut its barrier stall 66.7 to 54.6 percent. If SMEM caps co-residency, shrink the per-CTA tile/SMEM footprint to fit a second CTA. Targets occupancy / barrier-latency; keep the residual gate + cuSOLVER fallback, route guarded per shape."
2026-07-02T10:42:33.039614,91,6,28424.026,succeeded,c667f758870dc42213b75a8d6a1017197afdd21b,"OVERLAP LEVER (manager's steer, non-serializing): split the symv p=tau*A@v so the LOCAL part (v[j] for j in [r0,r1), this CTA's owned rows, INDEPENDENT of the peer-v exchange) is computed BEFORE barrier 2 to fill the cl.sync wait with independent FMAs; peer part (j<r0 + peer rows) added after. Math-identical, 39/39 valid. ncu shape6 with the requested eligible-warps metric: barrier stall dropped 71.6%/31.2cyc (t6) -> 70.5%/27.0cyc (stall CYCLE-COUNT fell ~13%), BUT Eligible Warps Per Scheduler = 0.17 and Issued Warp/Sched = 0.15 -- the SM is still starved: at 1 CTA/25% occ, once the FINITE local symv retires there is NO other warp to issue (occupancy is dead here, confirmed). Geomean 28424 = +2.5% REGRESSION; shape6 143435 (parent 106025, +35%). ROOT CAUSE of the regression: the two-pass restructure (2 loops over owned rows vs 1 fused pass) adds loop/index overhead that at C=3 (local = only ~1/3 of columns, so little overlap slack) EXCEEDS the small overlap gain. Shapes 4/5/10 near-neutral (sh4 46980, sh5 90451, sh10 92059). The overlap mechanism works (stall cycles down) but the local slack < barrier wait and the pass-splitting overhead nets negative. Next: overlap NEXT-column independent work across barrier 4 without adding a pass, OR a single-pass local-first ordering."
