optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"brief-57 it0: GATED PROBE of W2's tcgen05 trailing primitive (reused 95aa0848 tc_trailing_wt) for large-n -- DECISIVE KILL. Integrated the tcgen05 stack onto c508b154 (header-free typedefs added; dead code, path byte-unchanged, VALIDATES 22/22 + diff + invariance CLEAN; selftests PASS under nvrtc-13.0: MMA atom 0.006, W-reduction rel 3.2e-4 -- portable to the upgraded toolkit). Then BENCHMARKED the tcgen05 W=V^T@A reduction (the thing it accelerates) vs torch.bmm at representative shapes: tcgen05 is 10-14x SLOWER than torch.bmm EVERYWHERE -- n512 (B=640 P=512 NC=480) tcgen05 BK64 3072us vs bmm 231us (13.3x); n2048 (B=8 P=2048 NC=2016) 601us vs 62us (9.7x); n4096 (B=2 P=4096 NC=4064) 1446us vs 103us (14.0x). [GPU was ~89-91% contended by the fleet so absolutes are inflated, but the RATIO vs bmm is robust -- both run under the same contention, and tcgen05's mbarrier spin-waits are if anything MORE contention-sensitive, so the true idle ratio is >= this.] ROOT CAUSE: tcgen05 escapes the register wall (32 reg, 0 spill, 56% occ -- W2 confirmed) but the K-tiled mbarrier round-trip + per-K-tile smem re-staging dominate (exactly brief-26's 19x-slower failure mode); the production trailing already runs tl.dot tensor cores at ~bmm-class throughput, so tcgen05 has nothing to gain. tcgen05 trailing line is DEAD at large-n (10-14x slower, lowest 21% leverage). CRITICAL FLEET SIGNAL: the n512 ratio (13.3x) implies W2's n512 + W1's n1024 tcgen05 are likely ALSO dead -- the tcgen05 primitive was never benchmarked end-to-end before the fleet pivoted to it. Pivoting per the brief's escape clause.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-57,32e1c1d1,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-57:246,1,64.4155,1.0000,kept,0.58
opt_0001,"COMBINE: grafted brief-65 fp16x3 sweep1 onto the full host-axis stack best d262aa42 (capture+pool+zero-input-copy, 2049us). Disjoint 1-line precision graft, composes under capture. Validated combined base: 22/22 + diff + invariance + kernelguard CLEAN (band 14.0/rowscale 15.3/mixed 15.6; n512 captures correctly with zero-copy + fp16x3). Clean interleaved A/B (idle GPU): fp16x3 2040.9us/n512c 3710 vs tf32x3i 2048.0/3749 = -0.35% (larger than pool-only -0.2% because zero-copy amortizes n512 dispatch more, exposing more fp16 compute saving). New best vs 2049. routed-2-MMA stays rejected (guard-unsafe). No routing/toggle/stream.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-67,c508b154,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-67:219,1,64.4155,1.0040,kept,0.58
opt_0002,"brief-68 CORRECTION (the prior brief-68 stop was logged with brief-67's text in error): the brief-68 task was to RE-TEST the joint inner+cross_T fp16x2->fp16 (2-MMA->1-MMA) on the new fp16x3-sweep1 base (c508b154). An edit was staged but REVERTED unvalidated. Rationale: (1) the GPU was too contended (78-96% from concurrent workers) for the validate/diff-guard to acquire the exclusive lock (repeated 10min lock-wait timeouts); (2) the edit is predicted-to-FAIL -- brief-52 decisively established the inner trailing's THIN masked contraction (ncols<=16, NREF=16) needs the doubled fp16x2 mantissa and 1-MMA fp16 inner fails the diff-guard; the brief-67 sweep1 change (tf32x3i->fp16x3) is in the WIDE-trailing kernel, a DIFFERENT kernel that does NOT alter the inner/cross residual budget, so the inner 1-MMA accuracy is unchanged from brief-52's failing result. Shipping/leaving an unvalidated likely-failing edit is unsafe, so reverted to byte-identical c508b154. SHIPPED STATE: brief-67 c508b154 (fp16x3 + capture + pool + zero-input-copy, ~2041us, ACCEPTED 22/22) remains the validated best. If the coordinator wants the inner 1-MMA re-test confirmed, it needs a free GPU; the prediction is FAIL.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-68,c508b154,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-68:226,1,64.4155,1.0000,kept,0.58
opt_0003,"brief-54 ncu PHYSICS (NVRTC-13.0 re-verified qr_mega compiles+correct). MEASURED the n1024 path with ncu (now WORKS unprivileged, post-upgrade): PANEL=56.0% of time (_panel_factor_kernel, grid=(60,) GRID-STARVED, 88 idle SMs), TRAILING=44.0% (_trailing_fused_kernel). The fanned-out CUDA trailing is NOT a clean win: the trailing is BLOCK-DEPENDENT -- first tall block (pheight=1024) is 62.6% DRAM-bound/46% L2-hit, but MID blocks (pheight<=512, the majority) are 21% DRAM/67.7% L2-hit/31% SM = LATENCY-bound not memory-bound. So killing the V/A re-read (A-tile-resident CUDA, the only lever Triton lacks) helps ~only the first block -> small net win, and whole-V-resident kills occupancy (128KB->1blk/SM). mma.sync buys nothing over tl.dot (already lowers to mma; YT round-trip already gone). CONCLUSION: existing Triton trailing is near-optimal given its latency bound; the BIGGER n1024 lever is the PANEL (56%, grid-starved) -- but multi-CTA panel (qr_panel_mcta) is barrier-cost-walled at this height (gated OFF). No code change warranted. Live path c508b154 2040.9us. KEY for W2: same L2/DRAM block-dependence applies to n512 trailing -- profile per-block before committing PTX.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-54,e812d9d6,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-54:226,1,64.4154,1.0000,kept,0.58
opt_0004,"brief-55 MEASURED NO-GO (barrier-free TSQR panel for n1024). ncu: panel is grid-starved (0.41 waves, 88 idle SMs, 20.8% SM, 12.5% warps, 1.08% DRAM) -> idle-SM-fill IS a real lever. Measured _tsqr_panel_R forced-G vs 1-CTA panel (108us R+V+T): G=2 nw=8 = 76.7us = 1.41x FASTER (G=4/8 slower, merge-tree overhead; sweet spot G=2). SO the row-split R-computation DOES win. BUT the reconstruction-to-flat-(V,tau) is the killer: _orhr_col for ONE n1024 panel = 1849us (fp32, contended; ~60us idle-adjusted) vs the 31us R-saving budget -> 2x-60x OVER budget PER PANEL, x32 panels. The python for-k-in-range(b) LU loop is host-dispatch-bound. (Corrected a Plan-agent error: _orhr_col's solve_triangular DOES capture cleanly under torch-2.12, so the host-axis stack is NOT lost -- but the reconstruction cost kills it anyway.) ROOT: TSQR gives R cheap but NOT the reflectors; recovering V+tau via ORHR dwarfs the R-saving (same wall as the prior 22x-slower n4096 TSQR+ORHR). No code change. Live path c508b154 2040.9us.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-55,c508b154,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-55:229,1,64.4154,1.0000,kept,0.58
opt_0005,"brief-51: count==2 zero-copy NEUTRAL -> DISABLED, NOT submitted. Forked live best c508b154 (fp16x3+host-stack, 2040.9). Extended zero-copy to count==2 (n2048/n4096); 22/22+diff+invariance CLEAN at MAXDEPTH=2 (2 obj-keyed graphs, distinct outputs verified). CLEAN A/B same build: geomean 2044.8 ON vs 2045.6 OFF (<1us), n2048 7310 ON vs 7306 OFF (~4us) = pure noise. W3's -94us did NOT materialize: n2048 134MB copy overlaps compute + 2-graph capture spike cancels it. Host axis FULLY tapped at count==1. Disabled by default (MAXDEPTH=1, behavior==c508b154); mechanism retained env-toggleable; negative result recorded so fleet doesn't re-chase. NOTE: my best contribution remains the count==1 zero-copy in d262aa42, now under c508b154.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-51,7bd89b80,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-51:213,1,64.2910,1.0020,kept,0.58
opt_0006,"iter0 FEASIBILITY: raw tcgen05 PTX via NVRTC PROVEN on B200 sm_100a. Baked tcgen05.alloc/mma.kind::f16(TMEM accum)/commit+mbarrier/ld/dealloc primitives + self-test into _CUDA_SRC; tcgen05_selftest M128N64K16 max_abs_err 0.006 PASS. Header-free portable (inline cvt.rn.f16.f32). Validated path untouched, 22/22+guards clean, geomean neutral. NVRTC-tcgen05 is the SUBMITTABLE vehicle. Next: wire trailing through tcgen05 to escape 221-reg wall.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-69,394ef6cd,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-69:228,1,64.2763,0.9978,kept,0.58
opt_0007,"iter1: baked tcgen05 K-tiled W^T=A^T@V mainloop (tc_trailing_wt) into _CUDA_SRC. TMEM-accumulating across K-tiles -> profiled 32 reg/thr (vs Triton 255), 0 spill (vs mega 1.3-2MB), theoretical occ 56.25% (vs 12.5%), now SMEM-limited not register-limited = structural escape CONFIRMED. M=128 ONLY (M=64/32 verified GARBAGE), so W produced TRANSPOSED (ncols on M-axis). grid=(col_tiles,B) fanout, BK-tiled smem ~21.5KB. wt_selftest B3 P512 NC256 BK64 rel 3.2e-4 PASS. Active path untouched: 22/22+guards CLEAN, geomean neutral. Substrate ready for remaining 2 GEMMs (YT^T=WT@T, delta=V@YT) + FP8 swap.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-69,95aa0848,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-69:229,1,64.2641,0.9998,kept,0.58
opt_0008,"brief-50: zero-INPUT-copy replay for count==1 shapes (n512+n1024, the 62% prize). geomean 2049.1us vs 2075.9 (brief-49) vs 2155 (orig) = -1.3%/-4.9%. Capture a graph reading the persistent timed-loop input OBJECT in place, replay copy-free. SAFE: identity by id(data)+weakref-is-data+unchanged-ptr+sig (NOT data_ptr -- allocator address-reuse made the data_ptr-keyed attempt fail diff_correctness with stale answers). Bind on 2nd sighting of same LIVE object; restricted to depth==1 per W3 (count>1 round-robins multiple inputs=unsafe+low-value, keep copy). KEY BUG FIXED: torch graph capture does NOT populate outputs -- must replay() once post-capture before returning (else garbage; REPL max|dH| 17.6->0.0). n512 3750.8us (-135us), n1024 3448.7 (-41us). 22/22+diff(12x8)+invariance+kernelguard CLEAN, eval check PASS. QR_GRAPH_ZEROCOPY=0 byte-identical fallback.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-50,d262aa42,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-50:210,1,64.1590,1.0132,kept,0.58
opt_0009,"brief-54 it2: n2048 trailing-apply tile 32x32/2w->64x64/4w (the dominant 34.6% L1-85% kernel). +7.8% REGRESSION (shape5 7312.9->7882.8us, geomean 2049->2062). Apply is HBM-bandwidth bound not compute -- bigger tile raises regs/thread (lower occ) without cutting irreducible A/V/H traffic. Shipped 32x32/2w correctly tuned. Validate PASS. n2048 DECISIVELY FLOORED: 3 negatives (fused-trail it0, mcta-panel it1, apply-tile it2).",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-56,d503bbc0,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-56:236,1,63.7523,0.9897,kept,0.58
