optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"Widened the persistent n256 MathDx schedule from 32x32 to 64x64 tiles, reducing panel depth from eight to four and increasing device tensor-core update granularity without changing any dispatch or caller-stream/cache behavior. Build, policy gates, all official tests, six fresh n256 cases, and full benchmark passed. Target improved from 178.401 to 168.125 us; aggregate improved from 974.583 to 972.969 us.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,f6e9b1808c58c1c9ab2976ce351c22185b24722c,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22:4,1,2.2135,1.0017,kept,3.70
opt_0001,"Replaced benchmark batch64 n256 direct/grouped library calls with a caller-stream one-CTA-per-matrix MathDx left-looking factorization. Each persistent CTA performs 32x32 FP32 device Cholesky and triangular solves plus FP16-input/FP32-accumulate tile updates, writes a physical upper factor, and returns its transposed lower view from shape-scoped zeroed output storage. Build, banned-stream/kernelguard policy, all 17 tests, six fresh-seed n256 families, and every benchmark cell passed. Target fell from grouped 300.985 us to 178.401 us; full geomean reached 974.583 us versus 999.771 us parent.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,4733dddb79e6476df231d1b631609dfa36e5a526,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22:3,1,2.2099,1.0412,kept,3.70
opt_0002,Combining retained changes,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9,0025ab6dacb115582300f6c59640abcb2cac5676;019a772240957fc349d868e9dcd649a2ec681ad8;01e5c25dccea8d4ea1ae524f32bef6c0ecec6f54;03e760f7d66513a094d6a882898fdfdd9011be8c;0415e87ca02986b5fcc6d79c230767202baeb594;0523ae7c85791d43ceb4ec3b2ec0f4a50e10d710;0bcb08173ebd044e4e47642c3a5a34db09e177d5;0d327ab0b7979aab37f8eb24d0a532d92ce6bd06;0e244d6a8377ae1ac8238c320f84a765388f9f12;0f3939cc86d344293f6a908c5be2bbf9afc3f9f3;0ffefb0b462f83e4ac37c7674db0e0c6c7cf013f;1091b54228528ef8c96a0bcf0e52109f914b387c;1094d4aa2b915191493a6f14870fc6f38472b619;1428d299cca30b21303a58328c1cc004316355cd;17745a8031db26325689ef154f0d37a2bb3b7dc9;204f42915c8b02318ee08f42d131aabfaa85a380;2140f8374148268f3c7c66f4dd2586d2f8cc3b11;227791b35a81e6e26581d2cb04c874eb3ae2eaf8;24ddd2fefc9b6c3c4e614f1cfcaa1d9b97bc1292;25b4e9de0963918b16f526d80c1872608f150594;292b3f6f3ade1b2441c74dc6725e0b73fd4b376b;2b34940a4d7075f6c70e55461dfb8987695409b8;2bede217ba9316fd3c536159e9601f9c69dba38d;2c50b057b801c598ad9e3978c19d70f8896e701e;2d3e3247464649a18636317252b241af1a221be4;2d486a3613f5b8e8f053be493df5121dc72d510f;2d5d088934c42e7e6a234cf60c592e30f18016ee;33322297a8cab05d36a65b304a9e4bf064c5a867;33bdc296f23254fa6fa4e91a1787ad84f9368df9;340f5481b24e0ba0ef95b05db413e1f0b8e534a3;39c998a16701c2dd77b769f1001ef11114f793ed;3b2c3c2648c23eb7242183c232e26a3bd9d3073f;3e215f67fbcbb8ce1365e269c4dd8619762dc4d2;3f90fcf204bec75fc4d13dac0c587c9762150976;40f0d58575fe9adb54600d0363085b1cf64ee085;4352feef9b1b8b71ee737ee71167c91dd86652a6;44da7b6566031032de6eb25f9bef9500f1386c95;4535155263e9340c19418f60f55dae195c66c481;49fbe5349efa5b480cb1e430928e9353451198ab;4aaa3619203c7c25267ca40ded3f22a32b336d19;4b9fb363d3a7789884dbc7ff868c46730336e8cf;4c829b161f047437b26f777b115e6de2bee22849;4f1cd3dc5f0ac193248925197d954fe03bba3209;4fd26c4ccc0ef2879f6959af7e7b71bc521a2072;50af68f6d61c47d3d603a52aff6619f38d52782a;51103cf84a8e8028eaa8ea4fb5cce88c6b6bea82;52b0f27f39205bb9963784292b7e7b52ed329043;55d801d04a2e66cc7dd4bfda655580e02f567e63;5780d4875660000d621b9ec404529f5161e53c44;581b6cb19b87292dba24f3dfeb568f912d53605a;5a3f7660083da1f3f87db5926947ed18230df7d4;5b1628c110bf2d005e2232e410e6ee06f35f9ed8;5bfdbdc2b76e60cb5f9075f553f2624782e9db0e;5d75073f2c808eff5b1d17e99ce6e7530175901b;5da1ba340cac426731ce2f5bff8039712775219d;5e0d8662fd210d78e6211082b829d086a22c9c10;5ee074ed7f299cd69a76e27a6f9a94530c2b4243;60bf5bce461acde2b65538eb6695b83c14c1e8e0;628792bc5ffd40f9702bd795a6502001e5bbd6aa;635089248d0da1ddb04dc698f7c4eb8d2af4b0f4;644d05ec12309b591a5f6ee2dcfed9b6323fcda8;648c7877962d59b425ce2ccd0bf3f2d6b75839ef;65a4e01d0c13496fd336aee0263a5efb596fd7c9;66091fb573c4ac3ee1de070e6057b436e77a5bf9;687bfb5823ed333bdf7c6d69edde2f1813d3db88;6ad4ec89f0c01169f84631bdb000709baf7cb593;6b08f9060e88c5220b1135f8d1cca9abd26a8de6;6ce623d8c6399f7f8a03f177cd4de32e32f056e0;6e3f38d69f8008377b9c2fc97a3902d9c7abb4f7;6ed83098f01c079eb56220f8a5ae611ddc7a9d34;6f7ad668cefd3bc5b92d62c8cbb5a78b8ca1259f;707bc660dee11e75c6ec711d70b8035c81f3cf3b;73726fbc591ade141524a1dce57809daab2abb62;75cd0f5a33b4bb335bf698fa6aff55e63225148c;7bb9ebc0b6b3b546f991953157d71de93aad265e;7f5bc4e9e5c9c4b380fee5ca3be17f78b25aed8e;7fb2ae63fd4498905761dc3b5eeb1d356de0b409;81c700b42aad0bd6abedf10ccb6a5b586a55ff49;82294344ffd346b484dc7806ff62b7c4337264bb;8395590fe0081fd6de5934d8b2f89308c77b4cc4;8c66a676a2374097adfbb214915fad17ec124b96;8dd02bba963d6bb535ed591f52df257531d68397;8e0388ef4a32d89cd2e0688cf71aafbcb06e92a4;9283c406c8c22216b7a1a69f09f2bacac055b46e;9760798c7ae3a6df4f971d26c3c17e473bc0b74a;9a3866c68836a8aeeecb4499078edf1507636267;9d7af0d6d089c2276ab89ef22cf5d1eac7e8f94b;9dbccdcfc8c17cd0c74100f50f0d43847ae53a20;9ed5a8f2ee47290ed4f2be2d6fb134b532e242f9;a2aa410cbf0c75fa7e7c8f69779237e29669bbbe;a31105d65144c75a6d51fb6efa1c6808e4db3e6d;a4a93ce6c25f3765df29d25f8a3e4e3bd152dc01;a52b3bc2e587856021a1f31099e94cf978346203;a870abd514a602b7a1c4174c9c3ad8ce11f9e261;af2602232aac85e83858fc176bfc708554910e50;b596ec4e2245ab540b7d115083267c2cb28f75fb;b81f7a94a1e0f4a4b4cd51bc3e9eb28b0d41918c;bc9aa9b043f801c3db99b7eccc9d7b64ead8f7df;bd8ddbd0804629d7e997267dcea92200a95c04e7;bed75233b43cb7aa9f00e4d23460a8b36f18bdea;c1ffd4712f4a1570501052c1e2e3b1b5d3055202;c628c24efcb36afe6e593759f510ec9ed8d9aba5;c70bcb887b707f96727ee112725342c337511dbb;c91c2b6375e8103fcac8b0f244035f1477bf549f;c9de6206059242171ba2ee675bddf34a75390331;ccb20592fbfc08a2d8b7a1f2aeae581d31b9a9b1;cd0d4187a34f4137b156cd32e7c03cb1166997c4;cdb39a7eddccb8827fc5311fc116543ce3ac339f;cf367531c63d0f26387a0820d435d520bb2a2c18;d796c5d0c3eec1898335322c8e6b6ab7ee0de4f7;d899cdb287e0b246c7e4a924842c2370aae5979b;d977c8e722b3097556d80bcb9c78daa0124959c3;de1fd35aed90007998b7a5d5264fc7bf67f11968;de44c0f5f0499a78f74aff92402999920ae26199;df4f5de60955b3f144883ba0526d8a9ca9400272;e002fc7d778223cfe542307935d34fe4783be1e2;e0349c9ba33d6afcf156b6757fe264a33036d1c0;e2a7c966a276e288539963c04b6b065c8b5ca1c3;e6a7534cc9d014eea7ce4abb6e9c65059a12c3e9;e6b535a0c1633844be396d00a9742530bb24b172;e7202d2998665a018d05195a47df576d86f011f2;e8dc2e2bd55e0befaef29eb01d9ea046fa7db76e;e959c34ecdeb9bafb7e1661672020843596d97a5;e99af2a9d37a7dd3df9952c2407e7ea0e095a05b;e99b77c2ccd84760fa55a8a7dbeed14929ec42ca;ec6ece7fa068d34e50211ee8c4ee7b02e36fe3ea;ed9c6c718cb3b7a3e7f1198ed6f257c26b24d129;eef47c437fde7ff75a4befef7171ea096381e188;f041bc224f6b6d4caf9123bcd2c8148863f299a0;f0dd1a7b2ec8e07889a02337309750778df53e8f;f166e5c9bb0efd9654b33a8f1a4945cd8a171ebe;f6c3b9218fe08fb0f664e887330e7d7bc1656d6c;fd4e401e56ec5cd6130bb5a43747ec73388d139d;fee35861c702afa6e43aaaf626df211a3322b74e;ff9064afacc96cb05c2d01c6ff7faa32e2d97dad,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:11;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:12;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14:13;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:11;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17:12;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18:11;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-5:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-6:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-7:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:0;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:1;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:2;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:3;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:4;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:5;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:6;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:7;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:8;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:9;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:10;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:11;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:12;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:13;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:14;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:15;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:16;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:17;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:18;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:19;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:20;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:21;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:22;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:23;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:24;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:25;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:26;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:27;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:28;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:29;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:30;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:31;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:32;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:33;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:34;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:35;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:36;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:37;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:38;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:39;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:40;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:41;autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-9:42,139,2.1559,1.6455,kept,44.44
opt_0003,"Ran exact batch60 n1024 compact-FP16 panels through a caller-stream batch-aware CuTe persistent lower-triangular rank-k scheduler using 256x256 2-CTA MMA tiles and 2x1 clusters. Build, stream/kernelguard gates, all 17 official tests, fresh-seed guard, target correctness, and all 15 benchmark shapes passed. Target measured 2152.331 us versus parent 2158.279 us; full aggregate measured 999.035 us.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26,c2af1ed982c22ea0f0cfd9752cef44290b61783f,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26:1,1,2.1558,0.9999,kept,3.70
opt_0004,"Changed the batch-aware triangular CuTe schedule from 256x256 to 128x128 2-CTA MMA tiles with 2x1 clusters. Full validation and benchmark correctness passed. Target batch60 n1024 measured 2165.706 us versus 2152.331 us for 256x256; aggregate measured 1004.457 us, with unrelated large-shape run variance.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26,a3ebef29699253c717f3390d2332c281166eaff4,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26:2,1,2.1441,0.9946,kept,3.70
opt_0005,"Replace warp-per-row n128 panel solves with 128 independent four-thread register row teams, retaining the 32-wide FP32 panel and compensated TF32 WMMA rank-k schedule. All mandatory static gates, official tests, and fresh guards passed. n128 improved from 170.152 to 65.501 us; the full metric improved from 1070.765 to 1008.151 us, remaining above the 998.975 parent.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-25,9995a2f10a17619c048fa871b62f369a794dff04,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-25:1,1,2.1363,1.0621,kept,3.70
opt_0006,"Corrected the 2-CTA 256x128 persistent scheduler by expanding each triangular cluster coordinate into both 128-column subtiles. Build and all required correctness/policy checks passed. Large cells measured 4701.904/15316.978/61091.049 us and aggregate 1009.216 us, improving the 2-CTA 256x256 direct-TF32 trial at 1013.034 us but remaining above the 998.975 us explicit-FP16 parent.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-24,b54b1ac72e46f830098f8546d136ead89870e2dc,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-24:3,1,2.1340,1.0105,kept,3.70
opt_0007,"Replaced benchmark batch64 n256 direct SpotrfBatched with a shape-scoped four-panel block-64 schedule using prewarmed output/pointer pools, batched FP32 panel potrf/TRSM, TF32 trailing GEMMs, and caller-stream triangle preparation. Build, kernelguard/banned-stream gates, all 17 official tests, six fresh-seed n256 cases, and all 15 benchmark shapes passed. The target measured 300.985 us and full geomean 1010.383 us; all other dispatch remained unchanged.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,0a9b68cf60d269f2f023f29e4aa1241a3b9a7c5c,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22:0,1,2.1316,0.9895,kept,3.70
opt_0008,"Widened the grouped n256 schedule from four 64-wide panels to two 128-wide panels while preserving the prewarmed pointer/output pool and all non-n256 dispatch. Build, policy gates, all official tests, fresh-seed guard, and full-grid benchmark passed. The target measured 304.071 us versus 300.985 us at block64, and aggregate measured 1011.999 us.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,e674a1df7f712c5ab75d6bed8415f1ea61cddf6c,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22:1,1,2.1282,0.9984,kept,3.70
opt_0009,"Narrowed the persistent n256 MathDx schedule to 16x16 tiles and sixteen device-resident panels. All policy, official correctness, fresh-seed, and benchmark checks passed. Target measured 316.576 us versus 178.401/168.125 us at tile32/64 and aggregate measured 1012.582 us; the 16/32/64/128 structural sweep selected tile64.",autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,884b37ea438ca613220d3fd873c158b925c690aa,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22:6,1,2.1269,1.0890,kept,3.70
