optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"Fused stage-1 reflector v build+Rm-store (zero-pass + fill + store -> one loop), dropping one __syncthreads/tridiag-column (kernel still 72.8% barrier-stalled). General win for med_split callers. geomean 32591->32182us; shape11 104ms (parent 207.7, -50%); shapes 2/3/8/12 hold/improve; 39/39 valid; check pass.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43,e23884fa,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43:13,1,1.4860,1.0127,kept,2.04
opt_0001,"Cross-parent synergy (only available in the combined tree): route all 3 symmetric-Gram Q^TQ call sites to B's symmetric-aware _gram_3xtf32_sym (2 tensor-core bmms) instead of A's 3-bmm _gram_3xtf32. Sites: (1) low-rank orth gate V^TV at 2379 (B/low-rank territory, shapes 4/6/8/10/12+mixed), (2) sign-DC finishing-NS Gram g=Q^TQ at 2824 (A path, shape11), (3) sign-DC orth gate Q^TQ at 2866 (A path, shape11). Mathematically identical (the two Ozaki cross terms are transposes, C+C^T; ~6e-6, IDENTICAL gate decisions) at one fewer bmm each. geomean 32360us vs t1 32484us (-0.4%), NEW best. 39/39 valid, check pass, stream absent. Per-shape: sh11 109.5->109.7ms (noise, finishing-NS is 1 iter so small n*n saving), sh4 48943/48947, sh6 126437->126064, sh8 91657->91562, sh10 102528->102643, sh12 33588->33424; low-rank wins all held, no fallback change. B's primitive improving A's path = genuine combine synergy.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-46,fbe78e0e,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-46:2,1,1.4779,1.0038,kept,2.04
opt_0002,"COMBINE A+B via clean 3-way merge (common ancestor f8e44f9d1, merge-base confirmed). A = matrix-sign D&C (4f7abed0, global best 32751, owns shape11). B = low-rank 3xTF32 Gram (d6ce9b524, owns 4/6/8/10/12). Auto-merge went clean: A appends _sign_dc_*/_eigh_sign_dc block after _eigh_mixed_peel + sign-DC routing in custom_kernel tail; B threads _MIXED_PEEL_DOM_GRAM_MODE=3xtf32 through _eigh_mixed_peel body (2 call sites) + _lr_dom_gram_mode_for(n,k_lr) through the low-rank dispatch. Disjoint LINES -> both survive; hand-verified diff-vs-A shows ONLY B additions, diff-vs-B shows ONLY A additions. geomean 32484us (vs parent A 32751/32866-this-run) = -1.16% vs A this run, NEW GLOBAL BEST. 39/39 valid, check pass, 'stream' absent, cflags -O3/--use_fast_math kept. ADDITIVE (head-to-head A-alone this run): shape11 sign-DC INTACT (109.6ms A-alone == 109.5ms merged); B low-rank wins ALL present vs A-alone: sh4 50617->48943 -3.3%, sh6 133388->126437 -5.2%, sh8 93375->91657 -1.8%, sh10 104979->102528 -2.3%, sh12 34005->33588 -1.2%; sh3 protected FP32 unchanged. No interaction through shared _eigh_mixed_peel/dispatch. nsys shape11: mega_eigh_med_split_k 39.6%, TF32 GEMMs + batch_trsm_left (sign-DC pipeline confirmed).",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-46,6c2cf8cd,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-46:1,1,1.4722,1.0086,kept,2.04
opt_0003,"Lever #2 (surgical): ncu found the block-eigh kernel is 66.7% BARRIER-stalled; the stage-1 tridiag tree reductions (s2/vp/amax/Gershgorin) each did ~10 __syncthreads at nt=1024 (~18 of ~20 barriers/column). Replaced all 4 with warp-shuffle reductions (_medsum/_medmin/_medmax, 2 barriers each). General win for all med_split callers: shape11 109.4->104.2ms (parent 207.7, -50%), shape8 93.2->89.8, shape3 81->78.4, shape2 6.57->6.0, shape12 34->33.3. geomean 32751->32591us; 39/39 valid; check pass.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43,9ccab3d5,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43:12,1,1.4674,1.0126,kept,2.04
opt_0004,"t12 FINAL: restore the t7 Lever-1 best as branch HEAD (Levers 2/3 dead code removed). HEAD = clean additive combine (brief-42 dense-cluster A + brief-44 low-rank 3xTF32 B) PLUS Lever-1 Vd-lift 3xTF32 (t6) + complement-projection 3xTF32 n>=1024 (t7). Re-measured geomean 32721 (== t7 32773 within noise), 39/39 pass, 'stream' absent. BOTH win-sets present: shape11 lapdense_even 130004 (A cluster, mega_eigh_clust_split_k 42.6% on shape4) + shapes 4/6/8/10/12 improved (Lever-1 added -1.3% shape4, -0.8% shape12 over the combine). CUMULATIVE brief-45 best 32721 vs clean-combine 32892 vs PARENT A 33175. shape4 final profile: mega_eigh_clust_split_k 42.6% + batch_trsm_left_kernel 12.4% (trsm STILL top outer lever, only a hand-written fused CUDA kernel could beat it -- all torch reformulations lost) + potrf cuSOLVER ~9% + 3xTF32 Gram/lift GEMMs. Levers resolved: L1 PAID (banked), L2 refuted (native trsm efficient), L3 refuted (bf16x3 mass-falls-back on ill-conditioned path).",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45,85a450df,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45:13,1,1.4616,1.3949,kept,2.04
opt_0005,"Swept subspace width K=272/280/288/294/300. K=272 regresses (15.6% cuSOLVER fallback). K in [288,300] all ~110ms at benchmark level (block eigh is the wall; K doesn't move it). Kept K=300 (0 fallback + reseed headroom, equal speed). geomean 32751us; shape11 109.4ms (parent 207.7, -47%); 39/39 valid; check pass.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43,4f7abed0,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43:7,1,1.4602,1.0001,kept,2.04
opt_0006,"Measured subspace-basis CQR passes=1 REGRESSES: shape 11 304ms (1 pass leaves rank-deficient P+/-@Omega bases too far from orthonormal -> membership split degrades -> mass cuSOLVER fallback) vs passes=2 109.7ms. Kept passes=2 (load-bearing); exposed as documented knob. geomean 32753us (==trial 5, CQR=2); 39/39 valid; check pass.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43,e503e617,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43:6,1,1.4601,1.0017,kept,2.04
opt_0007,"Final confirmation + profile of HEAD 4f7abed0 (K=300). geomean 32765us (parent 34343, -4.6%); shape11 109.4ms (parent 207.7, -47%); shapes 3/8 unchanged (own low-rank paths); 39/39 valid; check pass. nsys shape11: block eigh mega_eigh_med_split_k 38.5% (38.5ms in-kernel, the wall), NS-sign/probe tf32 gemm 14.5%, CQR trsm 9%, elementwise 5.8%. Block eigh in-kernel FP32-SIMT cost is the megakernel's floor (recursion loses, K in [288,300] flat).",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43,4f7abed0,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-43:8,1,1.4596,0.9996,kept,2.04
opt_0008,"t7 Lever-1 complement-projection 3xTF32 (n>=1024) -> NEW BEST. Route R-Qd(Qd^T R) through 3xTF32 on n>=1024 via _lr_proj_mode_for + _lr_proj_out (2 chained _matmul_3xtf32); FP32 n=512; plain TF32 still banned (breaks V=[Vd,Vc] orth). geomean 32773 vs t6 32797 (-0.07%; -0.36% cumulative vs combine). Paid shape4 -1.3%, shape12 -0.8%; shape7/10 neutral, n=512 unchanged, shape11 held. 39/39 pass, no gate re-trip. Both win-sets present.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45,4306fba2,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45:8,1,1.4592,1.0007,kept,2.04
opt_0009,"t6 Lever-1 Vd-lift 3xTF32 in COMBINED build -> NEW BEST. Added _lr_vd_lift_mode_for (3xTF32 for n>=1024 and n=512 k>=384, FP32 zero-margin n=512 k<=352) + _MIXED_PEEL_VD_LIFT_MODE=3xtf32; wired through custom_kernel low-rank route + both mixed-peel sites. geomean 32797 vs clean-combine 32892 (-0.29%). Paid on n=1024 (shape4 -0.9%, shape10 -0.4%), neutral n=512, shape11 held. brief-44's net-neutral Vd-lift finding was parent-specific; combined build's shape balance makes it a win. 39/39 pass, no gate re-trip.",autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45,8720b2ea,autocuda/optimize/2026-06-30-18-52-36-eigh/brief-45:7,1,1.4582,1.0029,kept,2.04
