timestamp,agent_id,brief_id,parent_commits,brief_kind,description
2026-06-25T12:21:09.203879,0,0,40fd0e26d491111cc7c48a777a5fc0a6c2e07d47,macro,"Target the launch-bound serialized cuSOLVER geqr2 (77.9% of baseline) across the small/medium regime n in {32,176,352,512} (7 of 12 benchmark shapes). Write a custom CUDA C++ batched blocked Householder QR: one threadblock per matrix, stage ONLY the active column panel (e.g. 512x32, ~64KB) plus the WY/T reflector factors in shared memory while the trailing submatrix stays in global; do panel factorization and WY trailing update on-chip with no per-matrix kernel relaunch; emit compact (H,tau). Pure FP32 to lock the orthogonality/residual gates first. Route every other n to torch.geqrf."
2026-06-25T12:21:09.239717,1,0,40fd0e26d491111cc7c48a777a5fc0a6c2e07d47,macro,"Target the n in {1024,2048,4096} large-square regime (n=1024x60 shapes ~224ms each at baseline) where trailing-update GEMMs dominate. Write a custom CUDA C++ multi-block blocked Householder QR (panel width ~32-64): keep panel factorization and reflector norms/tau in FP32 for orthogonality, but cast the block-reflector trailing update A -= V*T^T*(V^T*A) to TF32/BF16 and run it on Blackwell tensor cores with FP32 accumulation. Exploit the ~2400x factor-residual and ~320x orthogonality margins. Route n not in {1024,2048,4096} to torch.geqrf for now."
2026-06-25T12:21:09.275820,2,0,40fd0e26d491111cc7c48a777a5fc0a6c2e07d47,macro,"Maximize throughput on the dominant n=512 batch=640 shapes (~80% of baseline cost; 4 benchmark cases incl. mixed/rankdef/clustered) with a precision-first custom CUDA QR: factor each matrix mostly in FP16/BF16 on tensor cores, then refine reflectors/factors back to FP32-accurate (H,tau) with correction pass(es). Single UNIFORM path for every matrix (no conditioning-based dispatch — the invariance guard forbids it). Binding constraint is the orthogonality gate (100*n*eps): measure the orthogonality margin every validate, not just the residual. torch.geqrf fallback for off-grid n."
2026-06-25T14:37:48.568667,2,1,37a1814b80f9d5484558b1fcb20589a7beac9651;424096bf,combine,"Combine your n<=512 wide-block champion (37a1814b, 6.79x) with worker-1's large-n custom path (424096bf: n=1024 12.3x FP32, n=2048 2.93x TF32) into ONE submission that dispatches by n so every regime n in {32..2048} uses its best custom kernel; n=4096 and off-grid n stay on torch.geqrf. The 5 large-n shapes currently route to geqrf and dominate the geomean — coverage alone should reach ~15x. Hazards: keep BOTH load_inline modules with distinct names, preserve cuBLAS -lcublas linkage, and do NOT leak global TF32 allow_tf32 state across the n-regimes (the factor-residual gate trips if n=1024/2048's TF32 mode bleeds into another path)."
2026-06-25T14:37:48.606034,1,1,424096bf,macro,"Crack the low-batch large shapes n=4096 b=2 and n=2048 b=8, where one-threadblock-per-matrix starves the GPU (only 2-8 resident blocks on 100+ SMs) and they still sit near geqrf. Use INTRA-matrix panel parallelism: a multi-block-per-matrix panel factorization (cooperative-groups grid sync or a two-pass split-reduction across blocks), OR cuSOLVER's geqrf for just the panel via the current CUDA solver handle paired with your custom TF32/FP32 tensor-core strided-batched trailing update. n=2048 is genuinely compute-bound so tensor cores can pay there; keep FP32 where the factor-residual gate binds. Goal: both shapes well above 3x."
2026-06-25T14:37:48.644239,0,1,424096bf,macro,"Push the three n=1024 b=60 shapes (incl mixed, nearrank) past worker-1's current 12.3x on this large-n base (424096bf). Apply your worker-0 expertise from the n<=512 line: warp-parallel geqr2 panel + parallel compact-WY T-build fully on-chip, occupancy tuning (ncu the panel kernel: it was the 1-block/SM shared-mem-bound limiter at n<=512), and wide blocks (one large trailing update per multi-subpanel block) to cut memory passes. Keep panel + reflectors FP32 (the factor-residual gate binds at n=1024 on nearrank, so TF32 trailing fails); the win is structural occupancy/launch, not precision."
2026-06-25T15:01:05.838638,2,2,9e8b4ca0af8c7add0e9e12f2cda8973241168d15,macro,"On your 14.0x combine (9e8b4ca0), attack the SMALL-batch shapes that are occupancy-STARVED: n=32 b=20 is only 2.85x and n=352 b=40 only 11.8x because one-threadblock-per-matrix launches just 20/40 blocks on this 188-SM GPU. In geomean ratio-space these low-speedup shapes have the most leverage left, and no other worker owns them (W0=n1024, W1=n2048/4096). Pack MULTIPLE matrices per threadblock (e.g. warp-per-matrix or several small matrices co-resident per block) so the small/medium regime n in {32,176,352} saturates the SMs; tune the matrices-per-block and threads so 188 SMs stay busy at b=20..40. Keep the n>=512 dispatch untouched. FP32. Profile with ncu to confirm occupancy is the limiter."
2026-06-25T15:42:31.253322,2,3,fe3c3093a95b00eb183cb9b563d89b88c3efd946,macro,"On your 14.29x champion (fe3c3093), push the n=2048 b=8 shape — currently only 3.1x (24.5ms, TF32 nb=12), the worst-performing shape that is NOT at the occupancy wall (b=8 gives 8 matrices = real parallelism, and you found n=2048 is compute-bound). This is your strength: FP32 shared-memory panel geqr2 + a larger tensor-core (TF32/BF16, FP32-accumulate) strided-batched trailing GEMM. Tune the block width nb to push FLOPs into the tensor-core GEMM while holding the factor-residual gate (you saw TF32 trips ~12/20 on rankdef/nearrank at large n — find the nb/precision split that stays safe at b=8). Leave n=4096 to worker 1 and keep n<=1024 + off-grid dispatch untouched. Goal: n=2048 well above 5x. ncu the trailing GEMM to confirm tensor-core utilization."
2026-06-25T15:53:30.659479,1,2,fe3c3093a95b00eb183cb9b563d89b88c3efd946,macro,"Establish the true n=4096 b=2 ceiling (the one shape still on geqrf = the worst-ratio geomean term at 50.5ms) by trying the ONE contract-legal mechanism not yet attempted: RECURSIVE blocked-WY QR (Elmroth-Gustavson / LAPACK geqrt3 style). Recurse cols: factor left n/2 (down to small base panels), apply Q^T to the right half via large WY GEMMs (A12 -= V1 (T1^T (V1^T A12))), factor right n/2. tau = diag(T), V below diag, R upper -> the standard (H,tau), unlike TSQR. The bet: the big applies (top level 4096x2048x2048/matrix) are huge tensor-core GEMMs (FP32-accumulate; FP32 inputs since the 5e-3 factor gate bans TF32 on nearrank/rankdef), so even at b=2 they fill the 188 SMs and replace geqrf's SIMT-SGEMM trailing + sequential geqr2 panel with fewer/fatter TC launches. Parent is the champion fe3c3093 so you ONLY add the n=4096 path (n!=4096 dispatch untouched). If recursive QR can't beat geqrf's 50ms after honest effort, a clean 'geqrf is the floor for n=4096 b=2' finding is a valid return. Profile the applies with ncu."
2026-06-25T15:55:59.632903,0,2,fe3c3093a95b00eb183cb9b563d89b88c3efd946;d7c9ff3b,combine,"Combine your faster n=1024 kernel (d7c9ff3b: two-level blocking + warp-parallel apply, ~21.5x on the three n=1024 b=60 shapes, up from 12.45x) INTO the current champion (fe3c3093, 14.29x). The champion's n=1024 dispatch currently calls worker-1's ORIGINAL 12.45x kernel; swap in your improved one. Both are the same blocked_qr family in submission.py, so this is a focused replacement of the n=1024 path/config, not a rewrite — keep the champion's n<=512 wide-block path, n=2048, n=4096, and off-grid dispatch byte-for-byte untouched. Watch the same hazards as the prior combine: distinct load_inline module names, -lcublas linkage, and no TF32 allow_tf32 leak across regimes (your n=1024 path is FP32). This directly lifts the global best by ~the n=1024 ratio gain. Validate all 3 guards; ncu only if a regression shows up."
