incident_id,branch,skill,timestamp,severity,category,signal,evidence,recommendation,source
bug_0000,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-0,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0001,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-1,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0002,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-11,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0003,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-12,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0004,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-14,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0005,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-15,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0006,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-16,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0007,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-17,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0008,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-19,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0009,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-21,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
