optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,Combining retained changes,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-7;autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-5,1adf2c2f3957105a0ff2402874e8388e08b3d4a2;282d391f895dbcba85d1108061d9d3fb82e66c06;297d2527d8e4eb36ed7166afbf3a9084fd874f7f;32e1f1ee3ee3f89b1b56605d4f3b7e97c424598c;453c7ce29379b751e7187b15fd169b369ab2f581;455b6e88c7ea4fd4c5da70e3a5a6bf9bd0142df2;5301ba38cb7c98d5c5ff3020abc7cb0012d8dd82;589698221362228e188ae84380bca1bd95b6f4b8;6e9252d8f8e1535589570a5e99d4d2ca892bf766;76b595e4ae47ded70ac030f56de2c76acb9c12d4;8855adbc8ae6e2fe28b5a9fdc0a5f8dce3e8ca89;a21782f873410f875ce65d85d7ceaf8d000b63b9;d148f7d993df15ec7998704f86223907255b8a4f;d2e83776d4727c724e5b68543be0c6e86cf5cbd2;d67dde5ab11a2573fed0c4efdafc4ac522e3da4e;d994188e2c243315c06f9b2e3aebe9101bc82528;de08e60b8ee334f41002d39fbf8e8e73bf9a43da;e5e246995cf46eeba6f1c9cbeecba82e0cdb93b7;e93c07b9a80478081aea4a35cc8ba250afe143c7;fd956a9d484692c4dc7a4ec20d94bc371d50e7ed,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:0;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:1;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:2;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:3;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:4;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:5;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:6;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:7;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-5:8;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:0;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:1;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:2;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:3;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:4;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:5;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:6;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:7;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:8;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-6:9;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-7:0;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-7:1;autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-7:2;autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-5:0;autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-5:1,24,1.1194,1.0488,kept,28.57
opt_0001,Packed batch640 N=512 global sidecars at LD=32 while expanding row-wise async tile/pair/triple loads into bank-padded LD=40 MathDx shared operands. Full validation passed at a new run-wide-best 684.643 us; batch640 measured 1025.284 us and batch16 remained 179.002 us.,autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1,0b18f368ac286b8646e796cd0736552c48e11a41,autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1:14,1,1.0970,1.0428,kept,7.14
opt_0002,"Restored scalar coalesced frontier panel transfers and replaced each 64x64 factor pivot's separate sqrt/divide with one reciprocal square root plus multiply. Full official/fresh validation and all benchmark correctness checks passed. Target latencies remained essentially level at 688.854/1352.692 us versus 688.645/1351.386, while the shared n64 path improved from 21.223 to 20.836 us. Full-grid geomean reached a branch-best 715.900 us, 8.44% below the 781.913 baseline.",autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4,fd3d941d86d5d052f95e1e7ad9d92480bf47d77b,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4:33,1,1.0922,1.0332,kept,7.14
opt_0003,"Returned to the one-matrix-per-CTA 64-wide custom factor, removed the unused 128-wide alternative, and transposed panel loads/stores with coalesced physical-upper accesses into conflict-free 65-stride shared storage. Full official/fresh validation and all benchmark correctness checks passed. Targets improved from 710.739/1390.270 to 688.645/1351.386 us at 4x1024/2x2048; full-grid geomean reached 717.665 us, 8.22% below baseline.",autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4,cf32ecafdd0ea673ece7244bbdb9aaf6876fd5b8,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4:31,1,1.0895,1.0346,kept,7.14
opt_0004,"Separated POTRF publication from TRSM using the update-owner dispatch as epoch 0, then ran parallel panel/update owners. Full validation and benchmark passed at 691.790 us; batch16/N512 improved from the observed 508.062 us parent run to 175.995 us, while batch640/N512 regressed from 969.009 to 1095.592 us.",autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1,8c6e54cd1ac30b763e620b540a1cbc28ff0c315c,autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1:6,1,1.0856,1.0856,kept,7.14
opt_0005,"Distributed the custom 64x64 frontier factors one matrix per 64-thread CTA, allowing the two or four independent factors to execute on separate SMs instead of sharing one CTA. Full official/fresh validation and all benchmark correctness checks passed. Target latencies improved from 832.861/1479.235 to 710.739/1390.270 us at 4x1024/2x2048; full-grid geomean reached 722.146 us, 7.64% below the 781.913 baseline.",autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4,74caf0b5a8d93fb7c48817abe0644b73da7104ba,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-4:29,1,1.0828,1.0301,kept,7.14
opt_0006,"Added a distinct batch640/N512 one-CTA-per-matrix persistent 64x64 left-looking supernode. It reads immutable source plus compact solved-panel sidecars and eliminates intermediate trailing-tile stores/epochs. Full validation passed at 697.231 us; batch640 measured 1040.472 us (best repeat 974.880 us), close to but slower than the retained high-batch path.",autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1,ff9ef619e5c645ba45bb55b5d93f581248dbea23,autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1:8,1,1.0772,1.0116,kept,7.14
opt_0007,"Staggered the lightweight side-stream outer copies in paired frontiers: first-half factor and copy prefixes join before releasing each second-half factor/copy pair, while each main chain still overlaps its copy with the full inner DAG. Targets measured 503.887, 723.570, 1256.348, and 2251.776 us; full-grid geomean reached a new Brief2 best of 733.574 us.",autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-2,06cbd50b0b01e81997be858765235eceb4cd55c2,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-2:20,1,1.0659,1.0472,kept,7.14
opt_0008,"Exact full-grid replicate of b4-fused/other-shapes-side-copy commit 005ddb3. It reproduced b4/n1024 at 663.785 us and measured targets 502.963, 1337.133, and 2240.325 us elsewhere; full-grid geomean was 733.638 us, effectively tied with the 733.574 Brief2 best despite target and unrelated-shape run variance.",autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-2,005ddb3b756faf91a8a6d2f7a0b5348e49f5bb7d,autocuda/optimize/2026-07-20-23-00-46-cholesky-unmerged/brief-2:23,1,1.0658,1.0190,kept,7.14
opt_0009,"Published the first N=256 factor through a single owner before three panel owners, removing two redundant 64x64 POTRF computations. Full validation passed at 705.260 us; N=256 measured 74.112 us (best 68.984 us), so the added dependency epoch offset the saved factor work.",autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1,0e5f486d5048b8a12c02f170365e518680237ece,autocuda/optimize/2026-07-21-04-34-16-cholesky-unmerged/brief-1:11,1,1.0649,1.0255,kept,7.14
