optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"Bracketed the direct-wait combination at a six-phase P16/C16 tail by moving LOOKAHEAD_START from panel 384 to 416; panels 0:384 remain the fixed sixteen-stage stationary path and panels 384:416 use the all-warp SIMT tail. Full official and all guards pass. Dense n512 measured 15506.755 us, 32.451 us (0.21%) slower than the eight-phase merge but still 1.11% below direct-wait parent 15680.428; suite geomean measured 1419.742030 through untouched-route variance.",autocuda/optimize/2026-07-06-18-24-02/brief-12,8a107892,autocuda/optimize/2026-07-06-18-24-02/brief-12:2,1,0.8694,1.0030,kept,5.56
opt_0001,"Moved the grouped-table inline lookahead boundary from panel 384 to 416, producing the six-phase P16/C16 tail while panels 0-383 retain absolute 16/12/8 TMA groups and panels 384-415 use the all-warp SIMT path. Full validation and all guards passed. Dense n512 measured 15560.992 us, effectively tied with the eight-phase grouped trial 15557.774 (+0.02%) and 54.237 us above the ungrouped six-phase parent; geomean improved to 1419.750184 us, matching prior six-phase aggregate within noise.",autocuda/optimize/2026-07-06-18-24-02/brief-13,55cd37ae,autocuda/optimize/2026-07-06-18-24-02/brief-13:2,1,0.8694,1.0028,kept,5.56
opt_0002,"Isolated slot-specific producer-ready/consumer-done named barriers from the all-32-warp arithmetic experiment by restoring the parent P16 dependency frontier and C16 far-update coverage. Stationary panels 0:384, shared footprint, and compact inline tail stayed unchanged. Full validation and all guards passed. Dense n512 measured 15475.824 us, only +1.520 us (+0.01%) versus parent 15474.304, showing the asymmetric slot handshake is effectively neutral; suite geomean measured 1419.898 through untouched-route variation.",autocuda/optimize/2026-07-06-18-24-02/brief-15,ea39b7c8,autocuda/optimize/2026-07-06-18-24-02/brief-15:4,1,0.8693,1.0016,kept,5.56
opt_0003,"Reduced the isolated tail driver from nine pointer arguments to acm/tau/shared only, reconstructing constant shared offsets inside its separate call frame. Full official and all guards pass. Dense n512 improved from nine-argument noinline 15550.601 to 15510.970 us (0.25%), leaving it 36.666 us (0.24%) slower than inline merge 15474.304 while still below both parents; suite geomean improved to 1420.251602. Final profiling follows to measure the shared-spill response.",autocuda/optimize/2026-07-06-18-24-02/brief-12,f531395f,autocuda/optimize/2026-07-06-18-24-02/brief-12:4,1,0.8691,1.0021,kept,5.56
opt_0004,"Bracketed the grouped inline tail at the midpoint LOOKAHEAD_START=400 (seven phases), with the same absolute 16/12/8 TMA table, compact K loop, direct waits, and shared-buffer reuse. Full validation and all guards passed. Dense n512 improved to 15507.498 us versus grouped eight-phase 15557.774 and six-phase 15560.992, but remained 33.194 us above the ungrouped eight-phase parent 15474.304. Geomean measured 1421.439289 us, between the grouped endpoint aggregates.",autocuda/optimize/2026-07-06-18-24-02/brief-13,08af01c9,autocuda/optimize/2026-07-06-18-24-02/brief-13:3,1,0.8684,0.9988,kept,5.56
opt_0005,"Restored four-warp overlap and rewrote active-panel tcgen B prepack as unrolled inner-column, row-strided loops, eliminating runtime division/modulo per packed element. Full 22-test validation, differential, invariance, and off-grid guards passed. Best aggregate geomean 1421.811815 us; targeted dense n=512 was 16106.290 us versus trial 10 at 16022.611 us (+0.52%), so trial 10 remains the dense winner.",autocuda/optimize/2026-07-06-18-24-02/brief-5,ab1ca208,autocuda/optimize/2026-07-06-18-24-02/brief-5:13,1,0.8681,1.0039,kept,5.56
opt_0006,"Kept the seven-phase LOOKAHEAD_START=400 boundary and removed the unreachable >=384 four-stage TMA arm, leaving only compile-time absolute 16/12/8 groups and the compact runtime K loop. Full validation and all guards passed. Dense n512 improved from 15507.498 to 15493.635 us and is 19.331 us (0.125%) above the ungrouped eight-phase parent 15474.304; geomean measured 1421.892198 us versus parent 1424.026803. The source shrank four lines and final resource profiling follows.",autocuda/optimize/2026-07-06-18-24-02/brief-13,437b40c4,autocuda/optimize/2026-07-06-18-24-02/brief-13:4,1,0.8681,0.9997,kept,5.56
opt_0007,"Materialized the validated K-major tcgen05 B image alongside native panel_v using all 1024 threads in the existing panel construction loop. The existing CTA barrier now publishes both layouts, removing the later 128-thread pack loop and named barrier without changing arithmetic or correction staging. Full official, differential, invariance, and off-grid validation passed. Dense n=512 measured 16073.900 us versus parent 16022.611 us (+0.32%); aggregate geomean was 1421.978346 us.",autocuda/optimize/2026-07-06-18-24-02/brief-8,1a249361,autocuda/optimize/2026-07-06-18-24-02/brief-8:2,1,0.8680,1.0027,kept,5.56
opt_0008,"Replaced each post-overlap full-CTA reuse join with slot-specific producer-ready and consumer-done named barriers. Producers bar.arrive ready then wait done; consumers bar.arrive done then wait ready. Retained trial 1's all-32-warp frontier tranche and compact inline loop. Full validation and guards passed. Dense n512 measured 15500.633 us, 16.407 us faster than the full-join trial but 26.329 us (+0.17%) above parent 15474.304; suite geomean was 1422.234.",autocuda/optimize/2026-07-06-18-24-02/brief-15,4f8f5c72,autocuda/optimize/2026-07-06-18-24-02/brief-15:3,1,0.8679,1.0004,kept,5.56
opt_0009,"Specialized absolute TMA staging into fully unrolled compile-time groups: 16 stages for panels 0-112, 12 for 128-240, and 8 for 256-368, with a 4-stage template retained for later groups. Transaction sizes and stage addresses are constant while the verified swizzled patch and direct 128-thread acquire waits remain unchanged. Full official and all guard validation passed. Dense n512 measured 15674.224 us versus parent 15680.428 us (-0.04%, neutral); geomean 1422.280686 us versus 1422.491499.",autocuda/optimize/2026-07-06-18-24-02/brief-11,2d407a66,autocuda/optimize/2026-07-06-18-24-02/brief-11:1,1,0.8678,1.0001,kept,5.56
