timestamp,agent_id,brief_id,iteration,linalg/qr_v2,status,commit,description
2026-06-25T01:04:39.272486,1,,N/A,112393.799,baseline,40fd0e26d491111cc7c48a777a5fc0a6c2e07d47,baseline
2026-06-25T01:17:35.301131,1,0,N/A,N/A,brief_start,N/A,"The n=512 batch=640 shapes are ~70% of the benchmark (~940k us each, 4 variants). Replace cuSOLVER's tens-of-thousands of tiny launches with a batched BLOCKED Householder QR in pure FP32: a custom panel kernel factors a block of 32-64 columns (one CTA per matrix, shared memory) producing reflectors V and tau, build the block reflector T (larft), then apply (I - V T V^T) to the trailing submatrix via cublasSgemmStridedBatched across all 640 matrices at once. Collapse the launch count to O(n/block) batched GEMMs + panel kernels. Land this dominant shape first; fallback elsewhere."
2026-06-25T01:33:58.387862,1,0,0,39876.675,succeeded,427ca2bb8fa3e91d5cda6959513da82c78ef78bc,"Blocked Householder QR for n=512: custom panel kernel (1 CTA/matrix, shared mem, BLK=32) producing V/tau/T, trailing update via torch.bmm/baddbmm (cublasSgemmStridedBatched). Dispatch by size n==512, else torch.geqrf. Geomean 112275.78->39876.67 us (2.82x); n=512 b=640 shapes ~940k->~42k us each (~22x). Validates clean incl all 3 guards."
2026-06-25T01:48:42.740261,1,0,1,37730.563,succeeded,383cf735bb0f0c16345c4681e5558b4a772b9cd3,"Panel kernel: warp-parallel reflector apply (each warp owns strided trailing cols, __shfl reductions) replacing the per-column serial block-sync loop; larfg norm via warp shuffle. BLK=32 (best divisor fitting 99KB shared opt-in; 16 slower, >=48 too big). n=512 shapes ~42.8k->~35.8k us. Geomean 39876.67->37730.56 us (2.97x vs baseline). Clean incl all guards."
2026-06-25T02:12:26.542264,1,0,2,35732.050,succeeded,ee1c79841e7ca1fc878d8005da393697ee20aad3,"Panel kernel 1024 threads/CTA: ncu showed latency-bound (SM 5.3%, 1 block/SM, only 8 warps at 256 thr). 1024 thr = 32 warps hides the sequential larfg chain. Swept 256/512/768/1024, 1024 best. n=512 shapes ~35.8k->~30.4k us. Geomean 37730.56->35732.05 us (3.14x vs baseline). Clean incl all guards."
2026-06-25T02:32:09.843350,1,0,3,29237.147,succeeded,442fd9dda96a9a542b5f838034e05b641912d89a,"Panel kernel: build T (larft) from the hot shared panel + warp-parallel z reductions, replacing uncoalesced global-Vm strided reads with serial thread-starved z loops. Big hidden cost removed. n=512 shapes ~30.4k->~16.7k us (~1.8x). Geomean 35732.05->29237.15 us (3.84x vs baseline; n=512 ~57x vs 941k baseline). Clean incl all guards."
2026-06-25T02:44:33.696901,1,0,4,28083.637,succeeded,9e6cb61c210ef7690c2465752c35efec8a82ad07,"Two-level blocking: factor each 64-wide super-block as 2 shared-resident BLK=32 panels + inner update, assemble combined 64-wide V and T64=[[T_A,T_AB],[0,T_B]], do ONE 64-wide batched trailing GEMM. Halves the (now-dominant) trailing-GEMM count with better contraction width. n=512 shapes ~16.7k->~14.9k us. Geomean 29237.15->28083.64 us (4.00x vs baseline). Clean incl all guards."
2026-06-25T02:54:12.714274,1,0,5,27616.391,succeeded,1fd27abbc30eb6dcb695da7d2e696e9bf8aa0664,"Two-level: panel kernel writes clean V directly into the wide SB=64 V64 buffer via (ld,row,col) offsets, removing per-super-block host-side reflector copies; T assembled in place. n=512 shapes ~14.9k->~14.1k us. Geomean 28083.64->27616.39 us (4.07x vs baseline). Validates clean incl all 3 guards."
2026-06-25T03:04:36.001404,1,0,6,26835.183,succeeded,7f3f889cf2bc586053ac75dc223ea9d982270641,Retune panel threads/CTA 1024->512 (eval-confirmed; balance shifted after the shared T-build cut panel cost). n=512 shapes ~14.1k->~12.9k us. Geomean 27616.39->26835.18 us (4.18x vs baseline). Clean incl all guards.
2026-06-25T03:16:11.279426,1,0,7,26774.834,succeeded,3d9a967ad41c0d2d1b38dc5897b8148b349e04c4,"Eval-swept NTHREADS optimum: {256,384,512,1024} -> 384 best. n=512 shapes ~12.8k us. Geomean 26835.18->26774.83 us (4.20x vs baseline). Clean incl all guards."
