branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-0,1099,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-1,788,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-10,396,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-11,304,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-12,261,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-13,214,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-14,113,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-15,88,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-16,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-17,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-18,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-19,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-2,258,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-20,84,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-21,57,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-22,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-23,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-24,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-25,368,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-26,92,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-27,1,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-28,1,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-29,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-3,502,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-30,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-31,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-32,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-33,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-34,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-35,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-36,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-37,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-38,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-39,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-4,143,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-40,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-41,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-42,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-43,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-44,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-45,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-46,48,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-47,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-48,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-49,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-5,703,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-50,119,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-51,454,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-52,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-53,318,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-54,295,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-55,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-56,0,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-6,72,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-7,65,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-8,370,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-9,432,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-0,880,,,,,,,,,
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-1-brief-1,906,,,,,,,,,
