branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
2026-06-19-04-54-07-qr_v2,50023,53,10621,1062,Bash=6248|Read=4160|Edit=902|Monitor=116|Agent=103|Skill=71|TaskStop=60|Write=36|CronCreate=8|CronDelete=8|TaskUpdate=7|TaskCreate=3|WebFetch=3|CronList=2|PushNotification=2|TaskGet=2|TaskOutput=2|WebSearch=2|TaskList=1,1463584,8252295,4093114305,98679311,1,2753.5785
2026-06-20-04-33-52-qr_v2_simplify,64195,32,11454,1180,Bash=8005|Read=2850|Edit=1375|Agent=162|Skill=113|Write=91|TaskUpdate=17|TaskStop=14|TaskOutput=13|TaskCreate=10|CronDelete=5|CronCreate=4|CronList=2|Monitor=2|ScheduleWakeup=2|SendMessage=1,2588050,10877726,3180147817,118764117,1,2468.7774
2026-06-20-22-03-57-qr_v2_with_logs,235056,260,31402,3819,Bash=23354|Read=6448|Edit=3604|Agent=621|Write=463|WebFetch=357|Skill=315|WebSearch=165|TaskStop=122|TaskUpdate=10|CronCreate=6|CronList=5|TaskOutput=5|TaskCreate=5|CronDelete=1,12165300,33723513,9714597153,505889009,4,8290.6592
2026-06-22-09-10-03-qr_v2,210782,102,31194,3665,Bash=21670|Read=5005|Edit=3770|WebFetch=1406|WebSearch=1014|Agent=498|Write=426|SendMessage=378|StructuredOutput=296|Skill=255|TaskUpdate=73|TaskStop=66|TaskCreate=42|Monitor=16|CronCreate=12|CronList=10|CronDelete=8|TaskGet=6|PushNotification=4|Workflow=4|TaskList=2,15949508,38266322,13118941056,982105070,10,12506.4009
2026-06-23-17-54-06-qr_v2,0,0,0,0,,0,0,0,0,0,0.0000
2026-06-24-20-40-28-qr_v2,41184,21,3062,202,Bash=1930|Read=668|Edit=527|SendMessage=59|TaskOutput=49|Agent=17|TaskUpdate=10|TaskCreate=5|CronCreate=4|CronDelete=4|Skill=4|TaskStop=3|CronList=2|Write=2|TaskList=1,369272,2798212,2132111845,157758540,0,1926.6504
2026-06-25-08-42-00-qr_v2_simplify,48390,3,1986,265,Bash=1447|Read=330|Edit=224|SendMessage=94|WebFetch=72|WebSearch=44|Agent=27|Skill=4|Write=3|CronCreate=2|CronDelete=2|Monitor=2|CronList=1|PushNotification=1|TaskList=1,963568,3058002,1713213070,167183723,1,1773.7934
2026-06-25-22-03-01-qr_v2,86911,56,4429,396,Bash=2721|Read=790|Edit=671|WebFetch=302|WebSearch=165|SendMessage=97|Agent=75|Write=15|Monitor=10|TaskStop=10|Skill=8|CronCreate=4|CronDelete=4|TaskUpdate=4|CronList=3|TaskCreate=2,2140126,5634076,2816585740,295725080,4,3038.4708
2026-06-25-23-41-18-qr_v2,78069,46,5696,967,Bash=4400|Read=961|Edit=679|SendMessage=242|WebFetch=137|WebSearch=101|Write=81|Agent=49|TaskStop=27|Monitor=14|Skill=10|CronCreate=2|CronDelete=2|CronList=2|TaskList=1|leaderboard-rankings=1,1874026,8040804,5423713806,308274139,5,4463.6178
2026-06-29-06-40-42-qr_v2,32974,7,2841,294,Bash=1648|Edit=714|Read=634|SendMessage=34|WebSearch=24|WebFetch=23|Agent=22|Skill=18|TaskUpdate=8|TaskCreate=5|Write=4|CronCreate=3|CronDelete=3|CronList=1|TaskGet=1,431199,3350254,1173292378,75835712,0,1051.7373
2026-06-24-03-03-06-qrv2_kernel_languages_96364acw1,19136,0,0,0,,5471565,331313,155705216,0,3,115.1497
