branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-0,7632,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-1,2800,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-10,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-11,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-12,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-13,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-2,679,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-3,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-4,5273,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-5,1863,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-6,1993,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-7,11918,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-8,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-0-brief-9,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-0,4787,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-1,4299,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-10,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-11,1286,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-12,4656,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-13,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-14,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-15,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-16,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-17,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-2,1157,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-3,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-4,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-5,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-6,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-7,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-8,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-1-brief-9,3435,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-0,2021,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-1,835,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-10,608,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-11,3708,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-12,5821,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-13,2744,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-15,1333,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-16,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-17,382,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-18,540,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-19,1445,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-2,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-20,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-3,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-4,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-5,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-6,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-7,0,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-8,3140,,,,,,,,,,
autocuda/optimize/2026-06-25-22-03-01-qr_v2/worker-2-brief-9,0,,,,,,,,,,
