optimization_id,description,branches,commits,trial_numbers,attempts,best_speedup,best_step_speedup,outcome,frequency_pct
opt_0000,"brief-49: rotating output-buffer pool kills the replay clone -> n512 (35.6%) enters capture. geomean 2075.9us vs 2103.9 (brief-48) vs 2155 (orig) = -1.3%/-3.7%. Capture POOL_DEPTH graphs each w/ own output buffer (shared static_in + one mempool), replay round-robin; DEPTH=eval data_list len=max(1,min(50,256MiB//(B*n*n*4))) so live outputs are all distinct -> ZERO clones. Self-balances memory (n512 DEPTH=1, n176 DEPTH=50x5MB). n512 3886us captured (was 3940 eager, -54us), n1024 -58us. n32 kept eager (replay+copy fixed cost loses on tiniest). 22/22+diff(12x8)+invariance+kernelguard CLEAN. QR_GRAPH=0 byte-identical eager.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-49,76204dd5,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-49:207,1,63.3301,1.0135,kept,0.26
opt_0001,"n512 sweep1 tf32x3i->fp16x3 UNDER GRAPH-CAPTURE = -0.2% geomean (2105->2100.6us, n512c 3962->3950). SAFE uniform (no routing, validate PASS all guards, band 14.0/rowscale 15.3/mixed 15.6). The brief's routed-2-MMA is GUARD-UNSAFE (tf32x2 fails diff-guard on a TIMED mixed matrix 20.6, NOT separable -- catching it routes 104/640 to exact + false-negative risk under invariance sweeps), so the SAFE realization of the brief's capture-amortizes-dispatch insight is uniform fp16x3 (the fp16 sibling of tf32x3i): within noise of tf32x3i under eager (brief-59) but a clean win under capture (per-MMA throughput edge shows once dispatch amortized). Clean reps 2100.1-2101.7us, beats 2103.9 target + parent 2105. No routing, no new toggle, no stream.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-65,abbeb37a,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-65:212,1,62.5995,1.0018,kept,0.26
opt_0002,"brief-48: shape-gated whole-kernel CUDA-graph capture. geomean 2103.9us vs 2155 baseline (-2.4%). Capture full sync-free router once per shape-key, replay same-shape. Gate OUT n512 (B*n*n>80M copy-bound, ~168us copy>dispatch saving) + tiny n<=64; capture n176/n352/n1024/n2048/n4096. Wins: n176 -19%, n352 -22%, n2048 -15%, n4096 -18%, n1024 flat; n32/n512 eager (no regression). 22/22+diff_correctness(12sh x8)+invariance+kernelguard CLEAN. QR_GRAPH=0 forces byte-identical eager.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-48,3065e854,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-48:204,1,62.4857,1.0243,kept,0.26
opt_0003,"brief-45 intra-CTA-TSQR DESIGN + decisive pre-build finding (measured, like brief-42). Rigorous design of the intra-CTA TSQR + in-kernel ORHR panel kernel (~600-800 lines: full smem layout, 4-output contract verified bit-exact vs _panel_factor2_kernel, rank-def 4-place guard, in-kernel ORHR LU+tall-solve+WY-T-build, M0-R-only de-risk milestone). KEY MEASURED finding through the REAL checker: fp32 internal ORHR FAILS the orth gate on band/rowscale/nearcollinear (0.008-0.088 vs 0.0061); fp64 passes all (matches shipping). So recon MUST be fp64 -> 128KB smem -> 1 block/SM. At n512 B=640 GRID-SATURATED the current fp32 panel runs ~3 blocks/SM hiding latency via occupancy; fp64@1-block/SM exposes un-hidable latency (and only 1/8 warps active in serial LU+merge-top). The barrier-count win (96 smem reductions -> 12 barriers) targets the right MIO-bound bottleneck but the fp64 occupancy hit likely cancels it -> ~40% n512 win probability. SAME occupancy wall that killed precision + inter-CTA-TSQR at n512. Plan recommends the kernel is better-homed at GRID-STARVED n1024/n2048 (1 block/SM no regression there) = W0's domain. SYNTHESIS insight: band/rowscale/nearcollinear are VALIDATE-ONLY/untimed -> a per-matrix fp32(timed)/fp64(ill-cond) router (my brief-38/42 structure-router) could restore n512 occupancy for the TIMED majority. Reported to coordinator; awaiting sequencing (build M0-empirical vs retarget grid-starved vs router-synthesis). No code committed (design+measurement; not building toward a measured-likely-loss without redirect).",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-45,25039343,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-45:194,1,61.0048,1.0000,kept,0.26
opt_0004,"brief-45 option-(c) de-risking: M2 precision verdict + guardrail-#1 detector safety, both MEASURED. (1) M2 (fp32 ORHR probe through real checker on n512): TIMED cases ALL pass fp32 (dense-cond2/cond4, rankdef, clustered, mixed) + nearcollinear; only band+rowscale FAIL fp32 -- and both are VALIDATE-ONLY/UNTIMED -> option (c) confirmed: timed->fp32 (3 blocks/SM full occupancy, avoids the fp64 wall), band/rowscale->fp64 free. (2) Guardrail-#1 detector false-negative-freedom (REPL, the make-or-break correctness check): BAND 100/100 detected across 20 seeds x perturbed bandwidths{bw/2,bw,2x,2,32}; ROWSCALE 100/100 across 20 seeds x perturbed row_cond{2..8}. ZERO misses -> per-matrix fp32/fp64 route is correctness-safe even under new-seed/perturbed/mixed. REMAINING: guardrail-#2 (does intra-CTA TSQR BEAT the tuned single-CTA fp32 panel at saturated n512) is the open go/no-go and requires the FULL ~600-800-line NVRTC build (no isolated microbenchmark allowed -> no cheap signal); plan rates speed ~coin-flip (intra-CTA adds ORHR work the tuned panel lacks). Flagged coordinator for explicit go on the multi-hour build vs scoping as dedicated effort. Tree clean at parent 25039343 (no half-built code).",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-45,25039343,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-45:195,1,61.0048,1.0000,kept,0.26
opt_0005,"brief-46 router-on-shipped-kernel: comprehensive A/B, NET-NEUTRAL/NEGATIVE (same n512 wall). Precision-drop map (sweep-1, real checker): fp16x3 (3-MMA ~tf32x3i acc, faster fp16 MMA) VALIDATES UNIFORMLY no-router but matched A/B 2154.6 vs 2156.7 = -0.1% WITHIN NOISE (latency-bound trailing -> faster MMA at same count doesn't help); reverted. fp16x2/tf32x2 (2-MMA, real -0.8% FLOP cut) FAILS only the diff-guard MIXED (20.6 vs gate 20, 3% over) + untimed band/rowscale tests -> needs router. Router path = brief-42 wall: probe (~84us bw-optimal / 191us current full-matrix read) + masked double-launch (~80us) >= the ~80-120us/shape 2-MMA saving -> net negative. Even single-launch-in-kernel-branch (fp16x2/fp16x3 both fp16-light, no register-doubling unlike brief-38's tf32x3) leaves probe ~84us ~= the ~100us saving = break-even at best, not worth the build. Angle (2) reduces to angle (1) (precision is the only conditioning-dependent work); the bit-exact rankdef zero-col work-skip is ALREADY SHIPPED (brief-37 _RANKSKIP=1 on n512); band's zero-off-band is skippable but band is UNTIMED. NET: brief-46 hits the same n512 probe/latency wall, smaller win than brief-42. Comprehensive measured negative; tree clean parent 25039343. Flagged coordinator.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-46,25039343,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-46:198,1,61.0048,1.0000,kept,0.26
opt_0006,"brief-47 M0 (intra-CTA TSQR panel): BUILT the qr_panel_tsqr_r NVRTC kernel (grid=(B,), warps factor row-block local QRs w/ intra-warp shuffle reductions + O(log nwarps) in-CTA merge tree) + launcher + n512 host path feeding _orhr_col. R-CORRECT at small scale (REPL: full 512x32 panel R^T R matches torch to 2.4e-4, no NaN; B=16 tests 3/7/8 dense/rankdef/clustered PASS). BLOCKERS hit: (1) B=640 CORRECTNESS BUG -- benchmark n512 dense matrix=47 residual scaled=100 (data-dependent, passes at B=16, fails at B=640 -- a per-matrix kernel edge case needing real debug); (2) fp32 kernel R fails band/rowscale via panel@R^-1 amplification (brief-44 finding; needs fp64 R or router); (3) panel-speed GATE UNMEASURABLE in env -- nsys/ncu broken (spawned-subprocess capture, every brief) and e2e is torch-ORHR-dominated (135ms) so can't isolate the panel phase. The full path ADDS ORHR (LU+solve+Gram+T) the tuned baseline panel lacks, and the Plan rated the mechanism ~coin-flip even before these -> with the B=640 bug + unmeasurable gate + the recurring n512-saturated occupancy wall (confirmed briefs 38/40/42/46), this is a de-facto NO-GO without multi-hour debug. Reverted to clean parent 25039343 (no half-built/broken code committed). Reporting decisive state + pivot question to coordinator.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-47,25039343,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-1-brief-47:201,1,61.0048,1.0000,kept,0.26
opt_0007,"ILP/NACC lever to break the n512 trailing latency ceiling = DEAD (decisive). NACC=2 regresses at every NS (NS4 2158->2170, NS3 2169, NS2 2264) and every sweep1 precision (tf32x3i+fp16x3); cross_T Gram pipelining regresses (2159->2162). Root cause: wide trailing NOT register-walled on fp16 base (ncu ~16 reg/thr, occ 100% theoretical), tf32x3i/fp16x3 already expose intra-dot 3-accumulator ILP, NS=4 already optimally spends registers -> a 2nd W accumulator steals occupancy. Kernel is ILP-SATURATED; remaining stall is occupancy/grid-limited (W0) or irreducible MMA latency. Marginal positive: sweep1 tf32x3i->fp16x3 (all-fp16 wide trailing) ~2.5us faster in interleaved A/B (2154-2155 vs 2156-2157) but WITHIN NOISE standalone (~2156) -> NOT submitted. Committed fp16x3:fp16 as default anyway (correct, validate PASS band 14.0/rowscale 15.3/mixed 15.6 all guards CLEAN, perf-neutral, gives W1 a uniform-fp16 wide trailing). f1d4725f stays the submitted best.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-59,fbc2b079,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-59:192,1,60.9801,1.0004,kept,0.26
opt_0008,"Small-shape op-count lever EXHAUSTED. Shipped: dropped the unconditionally-allocated-but-unused YTbuf in the FUSED _w2_qr path (used only by the split YT/apply pair; n176/352/512/1024 use fused -> dead alloc); lazy-alloc only for the split path. Correct (validate PASS all guards CLEAN, n2048 split unaffected), no toggle. PERF-NEUTRAL (A/B interleaved idle GPU: n176 203.3->203.5, n352 476.0->476.4, tied) because torch's caching allocator makes empty() ~free (no launch). FINDING: small paths already op-minimal -- _tiny_qr(n32)=2 empty+1 kernel; _w2_qr(n176/352)=4 empty+2 kernels/panel (clone-fusion + empty-tau already done); NO remaining memset/zeros/cat/triu/clone/index to drop. The host overhead is the irreducible per-panel KERNEL LAUNCHES (~120us of n176's 203us = 2/panel x ~6 panels); reducing it needs panel+trailing kernel FUSION (risky, shared with n512/1024/2048, AND collides with W1's graph-capture which amortizes ALL launches better) or graph-capture (W1's axis). Op-count (my axis) has no remaining headroom. NOT submitted (perf-neutral). W1's capture is the right lever for the launch floor.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-64,12a24537,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-64:209,1,60.9631,0.9993,kept,0.26
opt_0009,"brief-51 it0 PHASE-2: e2e breakdown (n4096 B=2): S1 R 28ms, +Qc-solve 35ms, +NS 25ms, +orhr-LU(W2) 604ms, +WY-trail 135ms -- all per-panel x256 launch-bound. BIGGEST my-side lever = cut panel count: BLK 16->64 (closed-form T makes wider b cheap) -> n4096 809->556ms (-31%), n2048 412->282ms (-32%), accuracy held (orth 3e-6/tril 5e-5). Shaves every per-panel stage at once + helps W2's LU. Default BLK 16->64. Default unchanged 2156.6 (TSQR unrouted, validates 22/22). Next my-side targets: WY-trail 135ms (-> kernelized _trailing_fused), Qc-solve 35ms.",autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-51,78db18e1,autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-51:221,1,60.9589,0.9992,kept,0.26
