incident_id,branch,skill,timestamp,severity,category,signal,evidence,recommendation,source
bug_0000,autocuda/optimize/2026-07-03-13-39-25/brief-10,optimize-tree,2026-07-03T23:40:15.164Z,critical,autocuda_exception,autocuda command raised an exception,"line 753 (tool_result): {""chunk_id"":""157576"",""wall_time_seconds"":17.638749348,""exit_code"":1,""original_token_count"":959,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T23:40:10.897985 wait=17.733s\n----- kernelguard scan -----\nkernelgu...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T23-37-30-019f2a58-3270-72e0-8e3a-099fd4cecefd.jsonl
bug_0001,autocuda/optimize/2026-07-03-13-39-25/brief-10,optimize-tree,2026-07-03T23:47:32.099Z,critical,autocuda_exception,autocuda command raised an exception,"line 896 (tool_result): {""chunk_id"":""2b5a71"",""wall_time_seconds"":16.375855526,""exit_code"":1,""original_token_count"":1175,""output"":""[autocuda run] acquired lock=build mode=shared at=2026-07-03T23:47:15.613877 wait=0.000s\nTraceback (most recent call last):\n File...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T23-37-30-019f2a58-3270-72e0-8e3a-099fd4cecefd.jsonl
bug_0002,autocuda/optimize/2026-07-03-13-39-25/brief-10,optimize-tree,2026-07-04T00:50:08.502Z,critical,autocuda_exception,autocuda command raised an exception,"line 1985 (tool_result): {""chunk_id"":""608bbf"",""wall_time_seconds"":22.256090331,""exit_code"":1,""original_token_count"":1099,""output"":""[autocuda run] acquired lock=build mode=shared at=2026-07-04T00:49:52.903999 wait=6.756s\nTraceback (most recent call last):\n File...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T23-37-30-019f2a58-3270-72e0-8e3a-099fd4cecefd.jsonl
bug_0003,autocuda/optimize/2026-07-03-13-39-25/brief-11,optimize-tree,2026-07-04T01:50:18.533Z,critical,autocuda_exception,autocuda command raised an exception,"line 2190 (tool_result): {""chunk_id"":""70ffec"",""wall_time_seconds"":12.740428221,""exit_code"":1,""original_token_count"":1210,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T01:50:14.307252 wait=81.640s\n----- kernelguard scan -----\nkernelg...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T00-21-59-019f2a80-e88b-73d1-bbf1-cc2e701a934f.jsonl
bug_0004,autocuda/optimize/2026-07-03-13-39-25/brief-16,optimize-tree,2026-07-04T04:39:50.596Z,critical,autocuda_exception,autocuda command raised an exception,"line 1536 (tool_result): {""chunk_id"":""ceab36"",""wall_time_seconds"":20.981609491,""exit_code"":1,""original_token_count"":308,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T04:39:48.122458 wait=22.757s\nTraceback (most recent call last):\n F...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T04-07-05-019f2b4f-010d-77c2-8dd6-3f3c86951495.jsonl
bug_0005,autocuda/optimize/2026-07-03-13-39-25/brief-3,optimize-tree,2026-07-03T17:56:04.288Z,critical,autocuda_exception,autocuda command raised an exception,"line 735 (tool_result): {""chunk_id"":""505771"",""wall_time_seconds"":45.232731732,""exit_code"":1,""original_token_count"":1454,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T17:55:42.476762 wait=28.033s\nmultiprocessing.pool.RemoteTraceback:...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl
bug_0006,autocuda/optimize/2026-07-03-13-39-25/brief-3,optimize-tree,2026-07-03T18:00:17.717Z,critical,autocuda_exception,autocuda command raised an exception,"line 805 (tool_result): {""chunk_id"":""01cdb4"",""wall_time_seconds"":40.605089531,""exit_code"":1,""original_token_count"":1410,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T17:59:59.152053 wait=25.520s\nmultiprocessing.pool.RemoteTraceback:...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl
bug_0007,autocuda/optimize/2026-07-03-13-39-25/brief-3,optimize-tree,2026-07-03T18:03:17.258Z,critical,autocuda_exception,autocuda command raised an exception,"line 849 (tool_result): {""chunk_id"":""d4758b"",""wall_time_seconds"":53.880623612,""exit_code"":1,""original_token_count"":1480,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T18:02:41.276818 wait=21.527s\nmultiprocessing.pool.RemoteTraceback:...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl
bug_0008,autocuda/optimize/2026-07-03-13-39-25/brief-3,optimize-tree,2026-07-03T18:09:15.718Z,critical,autocuda_exception,autocuda command raised an exception,"line 935 (tool_result): {""chunk_id"":""020d68"",""wall_time_seconds"":10.331727463,""exit_code"":1,""original_token_count"":1479,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T18:08:52.283470 wait=3.254s\nmultiprocessing.pool.RemoteTraceback:...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl
bug_0009,autocuda/optimize/2026-07-03-13-39-25/brief-3,optimize-tree,2026-07-03T18:34:50.132Z,critical,autocuda_exception,autocuda command raised an exception,"line 1306 (tool_result): {""chunk_id"":""703f91"",""wall_time_seconds"":34.859589712,""exit_code"":1,""original_token_count"":1292,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-03T18:34:34.352738 wait=26.533s\nmultiprocessing.pool.RemoteTraceback:...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/03/rollout-2026-07-03T17-29-00-019f2906-d124-7e53-950a-7afc6125819d.jsonl
bug_0010,autocuda/optimize/2026-07-03-13-39-25/brief-30,optimize-tree,2026-07-04T07:41:50.047Z,critical,autocuda_exception,autocuda command raised an exception,"line 1464 (tool_result): {""chunk_id"":""fbd9d8"",""wall_time_seconds"":25.198818637,""exit_code"":1,""original_token_count"":1297,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T07:41:45.013084 wait=60.323s\n----- kernelguard scan -----\nkernelg...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T07-30-36-019f2c09-53da-7dd2-8a40-6180703d2814.jsonl
bug_0011,autocuda/optimize/2026-07-03-13-39-25/brief-30,optimize-tree,2026-07-04T08:21:59.119Z,critical,autocuda_exception,autocuda command raised an exception,"line 2284 (tool_result): {""chunk_id"":""c317c3"",""wall_time_seconds"":30.001412903,""session_id"":75682,""original_token_count"":895,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T08:21:48.847870 wait=24.126s\nmultiprocessing.pool.RemoteTraceb...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T07-30-36-019f2c09-53da-7dd2-8a40-6180703d2814.jsonl
bug_0012,autocuda/optimize/2026-07-03-13-39-25/brief-30,optimize-tree,2026-07-04T08:25:29.742Z,critical,autocuda_exception,autocuda command raised an exception,"line 2353 (tool_result): {""chunk_id"":""47e147"",""wall_time_seconds"":13.341957822,""exit_code"":1,""original_token_count"":115,""output"":""[autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T08:25:26.538048 wait=56.068s\nTraceback (most recent call last):\n F...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T07-30-36-019f2c09-53da-7dd2-8a40-6180703d2814.jsonl
bug_0013,autocuda/optimize/2026-07-03-13-39-25/brief-30,optimize-tree,2026-07-04T10:07:08.085Z,critical,autocuda_exception,autocuda command raised an exception,"line 4443 (tool_result): [autocuda run] acquired lock=gpu-0 mode=exclusive at=2026-07-04T10:07:04.759078 wait=76.895s Traceback (most recent call last): File ""<stdin>"", line 11, in <module> torch.AcceleratorError: CUDA error: invalid device ordinal GPU device ma...",Fix the CLI or skill call path that produced the traceback.,/home/shadeform/.codex/sessions/2026/07/04/rollout-2026-07-04T07-30-36-019f2c09-53da-7dd2-8a40-6180703d2814.jsonl
