branch,duration_seconds,build_calls,non_build_calls,bench_calls,tool_call_breakdown,input_tokens,output_tokens,cached_input_tokens,cache_creation_input_tokens,compactions,estimated_cost_usd
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-0,4001,43,254,0,exec=194|wait=100|send_message=2|spawn_agent=1,501094,70055,28182784,0,0,18.6985
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-1,5502,94,345,6,exec=320|wait=123|send_message=2,760798,78433,45766912,0,1,29.0404
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-10,15042,163,1210,16,exec=1025|wait=302|send_message=30|spawn_agent=13|wait_agent=12|list_agents=6|followup_task=1,3183188,364468,158374656,0,4,106.0373
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-11,7431,83,567,26,exec=459|wait=204|send_message=10|list_agents=2|spawn_agent=1,887659,116384,74351872,0,1,45.1058
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-12,2887,41,186,1,exec=142|wait=86,298365,34766,23995136,0,0,14.5324
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13,800,15,65,4,exec=56|wait=28,217760,16477,6588160,0,0,4.8772
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14,3301,40,193,14,exec=162|wait=85,307991,35966,27507712,0,0,16.3728
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15,3597,34,194,12,exec=146|wait=94,322445,42867,28959488,0,0,17.3780
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-16,5298,49,303,11,exec=235|wait=128,799175,59782,49875712,0,0,30.7272
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17,3822,39,215,12,exec=166|wait=100,600197,44646,35535104,0,0,22.1079
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18,3609,35,232,13,exec=201|wait=79,534278,57753,37974784,0,0,23.3914
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19,2133,27,111,6,exec=82|wait=62,435514,28123,14378752,0,0,10.2106
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-2,3909,63,243,8,exec=218|wait=89|send_message=7,537548,57885,44219648,0,1,26.5341
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20,1305,15,102,1,exec=80|wait=38,318586,24430,9852160,0,0,7.2519
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21,430,6,66,3,exec=52|wait=23,190433,13386,5161984,0,0,3.9347
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,10202,89,512,18,exec=376|wait=243,1200591,86882,81913856,0,1,49.5663
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-23,4924,46,240,6,exec=166|wait=126,664127,53236,41278208,0,0,25.5568
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-24,10571,91,642,9,exec=464|wait=278,1332556,104249,103364864,0,1,61.4727
