incident_id,branch,skill,timestamp,severity,category,signal,evidence,recommendation,source
bug_0000,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-0,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0001,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-1,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0002,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-10,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0003,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-11,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0004,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-12,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0005,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-13,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0006,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-14,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0007,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-15,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0008,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-16,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0009,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-17,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0010,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-18,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0011,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-19,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0012,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-2,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0013,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-20,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0014,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-21,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0015,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-22,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0016,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-23,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0017,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-24,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0018,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-25,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0019,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-26,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0020,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-27,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0021,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-28,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0022,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-29,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0023,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-3,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0024,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-30,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0025,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-31,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0026,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-32,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0027,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-33,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0028,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-34,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0029,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-35,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0030,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-36,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0031,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-37,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0032,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-38,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0033,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-39,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0034,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-4,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0035,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-40,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0036,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-41,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0037,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-42,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0038,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-43,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0039,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-44,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0040,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-45,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0041,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-46,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0042,autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-47,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
