incident_id,branch,skill,timestamp,severity,category,signal,evidence,recommendation,source
bug_0000,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-0,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0001,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-1,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0002,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-10,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0003,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-11,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0004,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-12,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0005,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0006,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0007,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0008,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-16,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0009,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0010,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0011,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0012,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-2,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0013,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0014,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0015,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0016,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-23,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0017,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-24,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0018,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-25,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0019,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
bug_0020,autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-27,optimize-tree,,info,missing_harness,No harness JSONL was available for automated skill issue scanning,,Pass --harness-jsonl BRANCH=PATH for this branch and re-run the report.,
